samplename,condition
MCTX5,Cortex
MCTX6,Cortex
MCTX8,Cortex
MCTX9,Cortex
MPFC5,PreFrontalCortex
MPFC6,PreFrontalCortex
MPFC7,PreFrontalCortex
MPFC8,PreFrontalCortex
MPFC9,PreFrontalCortex
MSTR5,Striatum
MSTR6,Striatum
MSTR7,Striatum
MSTR8,Striatum
MSTR9,Striatum
MVTA4,VTA
MVTA5,VTA
MVTA6,VTA
MVTA7,VTA
MVTA8,VTA
MVTA9,VTA
