"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","description","entrez","ensembl","result"
387.732283199128,0.874428233391671,0.191708862382211,4.56123009925498,5.08548144725888e-06,0.0111800677131239,"Rreb1","ras responsive element binding protein 1","68750","ENSMUSG00000039087","HPP_vs_CTX_H3K27me3"
248.077861129998,0.884872396218993,0.218628835512398,4.04737277287842,5.17957184978497e-05,0.0498177694977131,"Gm10125","predicted gene 10125","791318","ENSMUSG00000063087","HPP_vs_CTX_H3K27me3"
167.397955447332,0.903973034906991,0.207566701435036,4.35509659621351,1.33008251802671e-05,0.0186856411512715,"8030442B05Rik","RIKEN cDNA 8030442B05 gene","77543","ENSMUSG00000102674","HPP_vs_CTX_H3K27me3"
316.637572255092,0.931171912307711,0.196970853653956,4.72746040865326,2.27345373877934e-06,0.00874654489651882,"5730435O14Rik","RIKEN cDNA 5730435O14 gene","70538","ENSMUSG00000091370","HPP_vs_CTX_H3K27me3"
163.177606249363,0.980131206493233,0.225101073803964,4.35418272303229,1.33564268415093e-05,0.0186856411512715,"E2f3","E2F transcription factor 3","13557","ENSMUSG00000016477","HPP_vs_CTX_H3K27me3"
131.872797598843,1.0065048536569,0.244119062673776,4.12300802171245,3.7395667025217e-05,0.0423088939163122,"Il6","interleukin 6","16193","ENSMUSG00000025746","HPP_vs_CTX_H3K27me3"
141.092079288546,1.1236530686941,0.236763152541696,4.74589502898349,2.07586352805795e-06,0.00874654489651882,"Inpp5d","inositol polyphosphate-5-phosphatase D","16331","ENSMUSG00000026288","HPP_vs_CTX_H3K27me3"
105.294700353792,1.13373959231694,0.275255539248225,4.11886204148117,3.80748001242165e-05,0.0423088939163122,"Vav2","vav 2 oncogene","22325","ENSMUSG00000009621","HPP_vs_CTX_H3K27me3"
1343.50975919663,-0.514303904082973,0.108705324421136,-4.73117491550375,2.23224070178281e-06,0.0471493881030565,"Igf1","insulin-like growth factor 1","16000","ENSMUSG00000020053","STR_vs_PFC_H3K27me3"
1343.50975919663,-0.514303904082973,0.108705324421136,-4.73117491550375,2.23224070178281e-06,0.0471493881030565,"Igf1","insulin-like growth factor 1","16000","ENSMUSG00000020053","STR_vs_PFC_H3K27me3"
416.694088954433,-0.82373508972709,0.174686106894428,-4.71551575778672,2.41099232049273e-06,0.00463555523449092,"Gm20854","predicted gene, 20854","100040911","ENSMUSG00000095650","STR_vs_CTX_H3K27me3"
1047.75926197404,-0.749567979847253,0.142312951326105,-5.26703980813134,1.38641151580305e-07,0.00052739094061148,"Sly","Sycp3 like Y-linked","382301","ENSMUSG00000101155","STR_vs_CTX_H3K27me3"
1396.70162282563,-0.724424836404533,0.137094469545428,-5.28412881137036,1.26304360565996e-07,0.00052739094061148,"Gm20857","Sycp3 like Y-linked pseudogene","100041014",NA,"STR_vs_CTX_H3K27me3"
474.128660962912,-0.663353507707436,0.155192495753699,-4.27439164816463,1.91659881226115e-05,0.0291629675273657,"Gm21943","predicted gene, 21943","434935","ENSMUSG00000096122","STR_vs_CTX_H3K27me3"
956.251041114897,0.536186780165782,0.113760035103093,4.71331412371554,2.43720043874391e-06,0.00463555523449092,"Hlf","hepatic leukemia factor","217082","ENSMUSG00000003949","STR_vs_CTX_H3K27me3"
416.694088954433,-0.82373508972709,0.174686106894428,-4.71551575778672,2.41099232049273e-06,0.00463555523449092,"Gm20854","predicted gene, 20854","100040911","ENSMUSG00000095650","STR_vs_CTX_H3K27me3"
1047.75926197404,-0.749567979847253,0.142312951326105,-5.26703980813134,1.38641151580305e-07,0.00052739094061148,"Sly","Sycp3 like Y-linked","382301","ENSMUSG00000101155","STR_vs_CTX_H3K27me3"
1396.70162282563,-0.724424836404533,0.137094469545428,-5.28412881137036,1.26304360565996e-07,0.00052739094061148,"Gm20857","Sycp3 like Y-linked pseudogene","100041014",NA,"STR_vs_CTX_H3K27me3"
474.128660962912,-0.663353507707436,0.155192495753699,-4.27439164816463,1.91659881226115e-05,0.0291629675273657,"Gm21943","predicted gene, 21943","434935","ENSMUSG00000096122","STR_vs_CTX_H3K27me3"
956.251041114897,0.536186780165782,0.113760035103093,4.71331412371554,2.43720043874391e-06,0.00463555523449092,"Hlf","hepatic leukemia factor","217082","ENSMUSG00000003949","STR_vs_CTX_H3K27me3"
172.685209252539,-0.793698750641044,0.218667670869607,-3.62970322720605,0.000283747259546854,0.00732320952664874,"Or2t46","olfactory receptor family 2 subfamily T member 46","258261","ENSMUSG00000060765","HPP_vs_STR_H3K27me3"
137.820616900665,-0.768138811315242,0.236843047754526,-3.24323985271196,0.00118178678066835,0.0199525001469507,"Chrm1","cholinergic receptor, muscarinic 1, CNS","12669","ENSMUSG00000032773","HPP_vs_STR_H3K27me3"
135.753500021083,-0.65091557230216,0.231931939342633,-2.80649389707626,0.00500838611902784,0.0489079827768682,"9530051G07Rik","RIKEN cDNA 9530051G07 gene","319781","ENSMUSG00000085982","HPP_vs_STR_H3K27me3"
279.52036685527,-0.615844021752645,0.192317121180001,-3.20223190724782,0.00136367167041984,0.0222702915334714,"Fbxo39","F-box protein 39","628100","ENSMUSG00000070388","HPP_vs_STR_H3K27me3"
154.970143631241,-0.595496854628067,0.207844142988173,-2.86511251203241,0.00416861101089132,0.0439303298208885,"Mlycd","malonyl-CoA decarboxylase","56690","ENSMUSG00000074064","HPP_vs_STR_H3K27me3"
353.242762310424,-0.592257313886566,0.153748401908251,-3.85212012961276,0.000117099547891881,0.00378077584109883,"Mir6903","microRNA 6903","102466206","ENSMUSG00000098606","HPP_vs_STR_H3K27me3"
213.863276827847,-0.585846989221463,0.193892685974819,-3.02150123031226,0.00251524618175644,0.0326045900051802,"Or5b94","olfactory receptor family 5 subfamily B member 94","258692","ENSMUSG00000044441","HPP_vs_STR_H3K27me3"
