"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Region","Comparison"
"179","BP","GO:0016051","carbohydrate biosynthetic process","1/1","181/19219",0.00941776367136693,0.0146917113273324,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"180","BP","GO:0016052","carbohydrate catabolic process","1/1","137/19219",0.0071283625578854,0.0136428562773567,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"181","BP","GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","12/992","31/19219",1.8980296955864e-08,1.41414224891503e-05,1.41078961200437e-05,"Cdh10/Cdh11/Cdh12/Cdh18/Cdh19/Cdh20/Cdh6/Cdh7/Cdh9/Nlgn1/Nrxn1/Pcdh18",12,"HPP vs STR","HPP","STR"
"182","BP","GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","6/342","31/19219",1.53664873407954e-05,0.0246171127199542,0.0228394527633716,"Cdh10/Cdh12/Cdh13/Cdh18/Cdh19/Cdh7",6,"VTA vs STR","VTA","STR"
"183","BP","GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","9/444","31/19219",2.22000226383488e-08,7.79960795360656e-06,7.47270937463953e-06,"Cdh10/Cdh12/Cdh18/Cdh19/Cdh6/Cdh7/Cdh9/Nrxn1/Pcdh18",9,"HPP vs PFC","HPP","PFC"
"184","BP","GO:0018108","peptidyl-tyrosine phosphorylation","1/1","278/19219",0.0144648524897236,0.0182739175825146,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"185","BP","GO:0018212","peptidyl-tyrosine modification","1/1","279/19219",0.0145168843332119,0.0182739175825146,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"186","BP","GO:0019216","regulation of lipid metabolic process","1/1","337/19219",0.0175347312555282,0.0201723709147284,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"187","BP","GO:0019218","regulation of steroid metabolic process","1/1","101/19219",0.00525521619230984,0.0118779141814381,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"188","BP","GO:0019318","hexose metabolic process","1/1","215/19219",0.0111868463499661,0.0157778118650172,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"189","BP","GO:0019693","ribose phosphate metabolic process","1/1","390/19219",0.0202924189604038,0.0219061302097401,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"190","BP","GO:0019722","calcium-mediated signaling","1/1","182/19219",0.00946979551485516,0.0146917113273324,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"191","BP","GO:0019932","second-messenger-mediated signaling","1/1","280/19219",0.0145689161767,0.0182739175825146,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"192","BP","GO:0021534","cell proliferation in hindbrain","1/1","15/19219",0.000780477652323253,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"193","BP","GO:0021700","developmental maturation","1/1","292/19219",0.0151932982985586,0.0186446267277734,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"194","BP","GO:0021889","olfactory bulb interneuron differentiation","4/444","14/19219",0.000234028541730084,0.0199999526743386,0.0191617110412285,"Robo1/Robo2/Sall1/Slit2",4,"HPP vs PFC","HPP","PFC"
"195","BP","GO:0021924","cell proliferation in external granule layer","1/1","15/19219",0.000780477652323253,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"196","BP","GO:0021930","cerebellar granule cell precursor proliferation","1/1","15/19219",0.000780477652323253,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"197","BP","GO:0021936","regulation of cerebellar granule cell precursor proliferation","1/1","11/19219",0.000572350278370215,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"198","BP","GO:0022407","regulation of cell-cell adhesion","1/1","434/19219",0.022581820073885,0.023671676255057,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"199","BP","GO:0022409","positive regulation of cell-cell adhesion","1/1","280/19219",0.0145689161767,0.0182739175825146,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"200","BP","GO:0022412","cellular process involved in reproduction in multicellular organism","1/1","421/19219",0.0219054061085384,0.0230516192188689,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"201","BP","GO:0022612","gland morphogenesis","1/1","138/19219",0.00718039440137352,0.0136428562773567,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"202","BP","GO:0030100","regulation of endocytosis","1/1","196/19219",0.0101982413236903,0.015332049881194,NA,"Arhgap21",1,"CTX vs HPP","CTX","HPP"
"203","BP","GO:0030104","water homeostasis","1/1","57/19219",0.0029658150788282,0.0112352268360164,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"204","BP","GO:0030166","proteoglycan biosynthetic process","1/1","56/19219",0.00291378323534008,0.0112352268360164,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"205","BP","GO:0030282","bone mineralization","1/1","117/19219",0.00608772568812099,0.0125689545576034,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"206","BP","GO:0030307","positive regulation of cell growth","1/1","175/19219",0.00910557261043743,0.0143730404868242,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"207","BP","GO:0030318","melanocyte differentiation","5/444","25/19219",0.000233280105086656,0.0199999526743386,0.0191617110412285,"Ednrb/Kitl/Mef2c/Tyrp1/Zeb2",5,"HPP vs PFC","HPP","PFC"
"208","BP","GO:0030318","melanocyte differentiation","7/992","25/19219",0.000202341714070931,0.0345537388644205,0.0344718191421246,"Ednrb/Gnaq/Kitl/Lrmda/Mef2c/Tyrp1/Zeb2",7,"HPP vs STR","HPP","STR"
"209","BP","GO:0030323","respiratory tube development","1/1","204/19219",0.0106144960715958,0.0152882529625372,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"210","BP","GO:0030324","lung development","1/1","201/19219",0.0104584005411312,0.0152882529625372,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"211","BP","GO:0030518","intracellular steroid hormone receptor signaling pathway","1/1","96/19219",0.00499505697486857,0.0118441743989242,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"212","BP","GO:0030521","androgen receptor signaling pathway","1/1","33/19219",0.00171705083511098,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"213","BP","GO:0030522","intracellular receptor signaling pathway","1/1","188/19219",0.00978198657578444,0.0149202772771094,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"214","BP","GO:0030705","cytoskeleton-dependent intracellular transport","1/1","189/19219",0.00983401841927256,0.015332049881194,NA,"Arhgap21",1,"CTX vs HPP","CTX","HPP"
"215","BP","GO:0030850","prostate gland development","1/1","44/19219",0.00228940111348119,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"216","BP","GO:0030856","regulation of epithelial cell differentiation","6/112","144/19219",0.000198696141842627,0.0464948971911748,0.0402040146652334,"Ajap1/Cebpb/Hes1/Sall1/Tmem100/Zeb1",6,"VTA vs CTX","VTA","CTX"
"217","BP","GO:0030879","mammary gland development","1/1","144/19219",0.00749258546230291,0.0137474067014919,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"218","BP","GO:0030902","hindbrain development","1/1","148/19219",0.00770071283625573,0.0137548916779173,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"219","BP","GO:0031016","pancreas development","1/1","79/19219",0.00411051563556897,0.0115648186016267,NA,"Igf1",1,"PFC vs STR","PFC","STR"
