"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Comparison","Mark"
"GO:00032722","BP","GO:0003272","endocardial cushion formation","3/213","28/28943",0.0011239550904216,0.014711429128442,0.0105577583426757,"Tgfb2/Bmp7/Msx1",3,"HPPvsCTX","H3K27ac"
"GO:00600392","BP","GO:0060039","pericardium development","3/213","28/28943",0.0011239550904216,0.014711429128442,0.0105577583426757,"Bmp7/Pdpn/Tgfbr3",3,"HPPvsCTX","H3K27ac"
"GO:00614372","BP","GO:0061437","renal system vasculature development","3/213","28/28943",0.0011239550904216,0.014711429128442,0.0105577583426757,"Bmp7/Pdgfra/Aqp1",3,"HPPvsCTX","H3K27ac"
"GO:00614402","BP","GO:0061440","kidney vasculature development","3/213","28/28943",0.0011239550904216,0.014711429128442,0.0105577583426757,"Bmp7/Pdgfra/Aqp1",3,"HPPvsCTX","H3K27ac"
"GO:0002011","BP","GO:0002011","morphogenesis of an epithelial sheet","4/213","62/28943",0.0011392182964336,0.014724038986123,0.0105668078938083,"Tmeff2/Bmp7/Pdpn/Pard3",4,"HPPvsCTX","H3K27ac"
"GO:0050873","BP","GO:0050873","brown fat cell differentiation","4/213","62/28943",0.0011392182964336,0.014724038986123,0.0105668078938083,"Fbn1/Bmp7/Fabp3/Fto",4,"HPPvsCTX","H3K27ac"
"GO:19030782","BP","GO:1903078","positive regulation of protein localization to plasma membrane","4/213","62/28943",0.0011392182964336,0.014724038986123,0.0105668078938083,"Cnst/Ezr/Myo5b/Myo5a",4,"HPPvsCTX","H3K27ac"
"GO:0031503","BP","GO:0031503","protein-containing complex localization","7/213","217/28943",0.00117487430321341,0.0151216113442759,0.0108521284323133,"Arhgap44/Ezr/Myo5b/Magi2/Iqsec1/Nedd4/Myo6",7,"HPPvsCTX","H3K27ac"
"GO:00018381","BP","GO:0001838","embryonic epithelial tube formation","6/213","159/28943",0.00118753616199609,0.0152211585245059,0.0109235691511848,"Tgfb2/Sfrp5/Bmp7/Grhl3/Tulp3/Sfrp1",6,"HPPvsCTX","H3K27ac"
"GO:00065841","BP","GO:0006584","catecholamine metabolic process","4/213","63/28943",0.00120951610938187,0.0153122756634451,0.0109889599929172,"Tgfb2/Abat/Kl/Myo5a",4,"HPPvsCTX","H3K27ac"
"GO:00097121","BP","GO:0009712","catechol-containing compound metabolic process","4/213","63/28943",0.00120951610938187,0.0153122756634451,0.0109889599929172,"Tgfb2/Abat/Kl/Myo5a",4,"HPPvsCTX","H3K27ac"
"GO:00603241","BP","GO:0060324","face development","4/213","63/28943",0.00120951610938187,0.0153122756634451,0.0109889599929172,"Tgfb2/Msx1/Pdgfra/Ptpn11",4,"HPPvsCTX","H3K27ac"
"GO:00488632","BP","GO:0048863","stem cell differentiation","8/213","282/28943",0.00121455662954034,0.0153133282802045,0.0109897154105776,"Tgfb2/Msi2/Bmp7/Msx1/Pdgfra/Sfrp1/Yap1/Gsc",8,"HPPvsCTX","H3K27ac"
"GO:00452161","BP","GO:0045216","cell-cell junction organization","7/213","219/28943",0.00123862801722568,0.0153450450173716,0.011012477145247,"Tgfb2/Bmp6/Dsg2/Ugt8a/Mpdz/Hopx/Pard3",7,"HPPvsCTX","H3K27ac"
"GO:0090263","BP","GO:0090263","positive regulation of canonical Wnt signaling pathway","5/213","108/28943",0.0012424448797773,0.0153450450173716,0.011012477145247,"Lmx1a/Kank1/Gprc5b/Sfrp1/Yap1",5,"HPPvsCTX","H3K27ac"
"GO:1904063","BP","GO:1904063","negative regulation of cation transmembrane transport","5/213","108/28943",0.0012424448797773,0.0153450450173716,0.011012477145247,"Hecw2/Tgfb2/Kcne2/Stk39/Nedd4",5,"HPPvsCTX","H3K27ac"
"GO:0010893","BP","GO:0010893","positive regulation of steroid biosynthetic process","3/213","29/28943",0.00124687805094214,0.0153450450173716,0.011012477145247,"Srebf1/Bmp6/Ppargc1a",3,"HPPvsCTX","H3K27ac"
"GO:00600452","BP","GO:0060045","positive regulation of cardiac muscle cell proliferation","3/213","29/28943",0.00124687805094214,0.0153450450173716,0.011012477145247,"Tgfbr3/Yap1/Ncam1",3,"HPPvsCTX","H3K27ac"
"GO:1903055","BP","GO:1903055","positive regulation of extracellular matrix organization","3/213","29/28943",0.00124687805094214,0.0153450450173716,0.011012477145247,"Tgfb2/Pdpn/Phldb1",3,"HPPvsCTX","H3K27ac"
"GO:0006865","BP","GO:0006865","amino acid transport","6/213","161/28943",0.00126616418121888,0.0153983510070281,0.01105073255552,"Llgl2/Ntrk2/Abat/Slc25a13/Myo6/Slc16a2",6,"HPPvsCTX","H3K27ac"
"GO:0007009","BP","GO:0007009","plasma membrane organization","6/213","161/28943",0.00126616418121888,0.0153983510070281,0.01105073255552,"Tmeff2/Degs1/Tgfb2/Ano4/Myof/Fa2h",6,"HPPvsCTX","H3K27ac"
"GO:00720062","BP","GO:0072006","nephron development","6/213","161/28943",0.00126616418121888,0.0153983510070281,0.01105073255552,"Sulf1/Col4a4/Bmp7/Pdgfra/Aqp1/Yap1",6,"HPPvsCTX","H3K27ac"
"GO:00603931","BP","GO:0060393","regulation of pathway-restricted SMAD protein phosphorylation","4/213","64/28943",0.00128279464209627,0.0154787212868569,0.0111084108398632,"Tgfb2/Bmp6/Bmp7/Smad6",4,"HPPvsCTX","H3K27ac"
"GO:0090278","BP","GO:0090278","negative regulation of peptide hormone secretion","4/213","64/28943",0.00128279464209627,0.0154787212868569,0.0111084108398632,"Srebf1/Fbn1/Ptpn11/Sfrp1",4,"HPPvsCTX","H3K27ac"
"GO:00487041","BP","GO:0048704","embryonic skeletal system morphogenesis","5/213","109/28943",0.00129450243539877,0.0155592140970692,0.0111661770589793,"Tgfb2/Bmp7/Pdgfra/Tulp3/Gsc",5,"HPPvsCTX","H3K27ac"
