"","Dataset","Region","Comparison","ontology","parent","score","parentTerm"
"365","HPP vs VTA","HPP","VTA","BP","GO:2000027",2.76746037973287,"regulation of animal organ morphogenesis"
"366","HPP vs VTA","HPP","VTA","CC","GO:0001917",2.05815770740848,"photoreceptor inner segment"
"367","HPP vs VTA","HPP","VTA","CC","GO:0002177",4.60234593704964,"manchette"
"368","HPP vs VTA","HPP","VTA","CC","GO:0005796",1.5094459124015,"Golgi lumen"
"369","HPP vs VTA","HPP","VTA","CC","GO:0005911",5.11332473892752,"cell-cell junction"
"370","HPP vs VTA","HPP","VTA","CC","GO:0005930",19.9037791038241,"axoneme"
"371","HPP vs VTA","HPP","VTA","CC","GO:0005938",2.70669256411479,"cell cortex"
"372","HPP vs VTA","HPP","VTA","CC","GO:0015629",1.59014215303671,"actin cytoskeleton"
"373","HPP vs VTA","HPP","VTA","CC","GO:0016327",2.32307414044481,"apicolateral plasma membrane"
"374","HPP vs VTA","HPP","VTA","CC","GO:0030175",2.33170418174002,"filopodium"
"375","HPP vs VTA","HPP","VTA","CC","GO:0030286",3.67701648015282,"dynein complex"
"376","HPP vs VTA","HPP","VTA","CC","GO:0030312",6.62174456714432,"external encapsulating structure"
"377","HPP vs VTA","HPP","VTA","CC","GO:0030990",4.41656298308579,"intraciliary transport particle"
"378","HPP vs VTA","HPP","VTA","CC","GO:0031514",22.8631351746679,"motile cilium"
"379","HPP vs VTA","HPP","VTA","CC","GO:0035869",6.20302278525097,"ciliary transition zone"
"380","HPP vs VTA","HPP","VTA","CC","GO:0036064",14.1587717850414,"ciliary basal body"
"381","HPP vs VTA","HPP","VTA","CC","GO:0042383",1.41852256608308,"sarcolemma"
"382","HPP vs VTA","HPP","VTA","CC","GO:0044306",2.08014241490728,"neuron projection terminus"
"383","HPP vs VTA","HPP","VTA","CC","GO:0045177",7.5658251525991,"apical part of cell"
"384","HPP vs VTA","HPP","VTA","CC","GO:0045178",2.11463872692633,"basal part of cell"
"385","HPP vs VTA","HPP","VTA","CC","GO:0060076",2.99529700750648,"excitatory synapse"
"386","HPP vs VTA","HPP","VTA","CC","GO:0097440",1.50647804908515,"apical dendrite"
"387","HPP vs VTA","HPP","VTA","CC","GO:0098978",1.51538590997591,"glutamatergic synapse"
"388","HPP vs VTA","HPP","VTA","CC","GO:0098984",1.98966495394534,"neuron to neuron synapse"
"389","HPP vs VTA","HPP","VTA","CC","GO:0099503",1.84081103456916,"secretory vesicle"
"390","HPP vs VTA","HPP","VTA","MF","GO:0003779",2.65864287076213,"actin binding"
"391","HPP vs VTA","HPP","VTA","MF","GO:0004089",1.56052755397357,"carbonate dehydratase activity"
"392","HPP vs VTA","HPP","VTA","MF","GO:0004714",1.38805395908414,"transmembrane receptor protein tyrosine kinase activity"
"393","HPP vs VTA","HPP","VTA","MF","GO:0005201",1.99661555564706,"extracellular matrix structural constituent"
"394","HPP vs VTA","HPP","VTA","MF","GO:0005501",1.43535303939491,"retinoid binding"
"395","HPP vs VTA","HPP","VTA","MF","GO:0005516",1.43535303939491,"calmodulin binding"
"396","HPP vs VTA","HPP","VTA","MF","GO:0005518",1.75693145579806,"collagen binding"
"397","HPP vs VTA","HPP","VTA","MF","GO:0008201",2.3710269197447,"heparin binding"
"398","HPP vs VTA","HPP","VTA","MF","GO:0015293",2.3710269197447,"symporter activity"
"399","HPP vs VTA","HPP","VTA","MF","GO:0016717",1.35328357038986,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water"
"400","HPP vs VTA","HPP","VTA","MF","GO:0019838",1.67892331318638,"growth factor binding"
"401","HPP vs VTA","HPP","VTA","MF","GO:0050839",1.46317691908695,"cell adhesion molecule binding"
"402","HPP vs VTA","HPP","VTA","MF","GO:0051959",1.54729204524841,"dynein light intermediate chain binding"
"403","HPP vs VTA","HPP","VTA","MF","GO:1901618",1.56052755397357,"organic hydroxy compound transmembrane transporter activity"
"404","HPP vs VTA","HPP","VTA","MF","GO:1901681",1.67892331318638,"sulfur compound binding"
"405","PFC vs CTX","PFC","CTX","BP","GO:0001894",1.36396190855815,"tissue homeostasis"
"406","PFC vs CTX","PFC","CTX","BP","GO:0006620",1.36396190855815,"post-translational protein targeting to endoplasmic reticulum membrane"
"407","PFC vs CTX","PFC","CTX","BP","GO:0007342",1.36396190855815,"fusion of sperm to egg plasma membrane involved in single fertilization"
"408","PFC vs CTX","PFC","CTX","BP","GO:0010310",1.36396190855815,"regulation of hydrogen peroxide metabolic process"
"409","PFC vs CTX","PFC","CTX","BP","GO:0010819",1.36396190855815,"regulation of T cell chemotaxis"
"410","PFC vs CTX","PFC","CTX","BP","GO:0018212",1.36396190855815,"peptidyl-tyrosine modification"
"411","PFC vs CTX","PFC","CTX","BP","GO:0019221",1.36396190855815,"cytokine-mediated signaling pathway"
"412","PFC vs CTX","PFC","CTX","BP","GO:0033623",1.36396190855815,"regulation of integrin activation"
"413","PFC vs CTX","PFC","CTX","BP","GO:0033631",1.36396190855815,"cell-cell adhesion mediated by integrin"
"414","PFC vs CTX","PFC","CTX","BP","GO:0035461",1.36396190855815,"vitamin transmembrane transport"
"415","PFC vs CTX","PFC","CTX","BP","GO:0044089",1.36396190855815,"positive regulation of cellular component biogenesis"
"416","PFC vs CTX","PFC","CTX","BP","GO:0045453",1.6290600950599,"bone resorption"
"417","PFC vs CTX","PFC","CTX","BP","GO:0045579",1.36396190855815,"positive regulation of B cell differentiation"
"418","PFC vs CTX","PFC","CTX","BP","GO:0048535",1.33906046976122,"lymph node development"
"419","PFC vs CTX","PFC","CTX","BP","GO:0050667",1.36396190855815,"homocysteine metabolic process"
"420","PFC vs CTX","PFC","CTX","BP","GO:0072337",1.33906046976122,"modified amino acid transport"
"421","PFC vs CTX","PFC","CTX","BP","GO:2001026",1.36396190855815,"regulation of endothelial cell chemotaxis"
"422","PFC vs CTX","PFC","CTX","BP","GO:2001240",1.33906046976122,"negative regulation of extrinsic apoptotic signaling pathway in absence of ligand"
"423","PFC vs CTX","PFC","CTX","CC","GO:0031362",1.46619418305305,"anchored component of external side of plasma membrane"
"424","PFC vs CTX","PFC","CTX","CC","GO:0046658",1.35071226484058,"anchored component of plasma membrane"
"425","PFC vs CTX","PFC","CTX","CC","GO:0097038",1.46619418305305,"perinuclear endoplasmic reticulum"
"426","PFC vs CTX","PFC","CTX","CC","GO:0097517",1.35071226484058,"contractile actin filament bundle"
"427","PFC vs CTX","PFC","CTX","CC","GO:1990204",1.31253414531183,"oxidoreductase complex"
"428","PFC vs CTX","PFC","CTX","MF","GO:0005125",2.14877182564691,"cytokine activity"
"429","PFC vs CTX","PFC","CTX","MF","GO:0005126",2.01541109593765,"cytokine receptor binding"
"430","PFC vs CTX","PFC","CTX","MF","GO:0008201",1.38129646190792,"heparin binding"
"431","PFC vs CTX","PFC","CTX","MF","GO:0017134",1.77308314266855,"fibroblast growth factor binding"
"432","PFC vs CTX","PFC","CTX","MF","GO:0019842",1.38129646190792,"vitamin binding"
"433","PFC vs CTX","PFC","CTX","MF","GO:0031406",1.36750970788055,"carboxylic acid binding"
"434","PFC vs CTX","PFC","CTX","MF","GO:0038024",1.47988194238856,"cargo receptor activity"
"435","PFC vs CTX","PFC","CTX","MF","GO:0043177",1.38129646190792,"organic acid binding"
"436","PFC vs CTX","PFC","CTX","MF","GO:0050664",2.01083285043165,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor"
"437","PFC vs CTX","PFC","CTX","MF","GO:0070851",1.38129646190792,"growth factor receptor binding"
"438","PFC vs CTX","PFC","CTX","MF","GO:0072341",2.30668007786334,"modified amino acid binding"
"439","PFC vs CTX","PFC","CTX","MF","GO:1990782",1.38129646190792,"protein tyrosine kinase binding"
"440","PFC vs HPP","PFC","HPP","BP","GO:0002385",3.2113227292413,"mucosal immune response"
"441","PFC vs HPP","PFC","HPP","BP","GO:0002468",2.37176499241766,"dendritic cell antigen processing and presentation"
"442","PFC vs HPP","PFC","HPP","BP","GO:0002696",1.77180527679007,"positive regulation of leukocyte activation"
"443","PFC vs HPP","PFC","HPP","BP","GO:0006909",2.34203314053085,"phagocytosis"
"444","PFC vs HPP","PFC","HPP","BP","GO:0006959",5.7902562194584,"humoral immune response"
"445","PFC vs HPP","PFC","HPP","BP","GO:0007159",2.10156314911552,"leukocyte cell-cell adhesion"
"446","PFC vs HPP","PFC","HPP","BP","GO:0008037",1.42746950998867,"cell recognition"
"447","PFC vs HPP","PFC","HPP","BP","GO:0009620",3.66973767894647,"response to fungus"
"448","PFC vs HPP","PFC","HPP","BP","GO:0030193",2.67890932208551,"regulation of blood coagulation"
"449","PFC vs HPP","PFC","HPP","BP","GO:0030574",1.59203712097678,"collagen catabolic process"
"450","PFC vs HPP","PFC","HPP","BP","GO:0031640",1.40423149300639,"killing of cells of another organism"
"451","PFC vs HPP","PFC","HPP","BP","GO:0032103",3.97538215089676,"positive regulation of response to external stimulus"
"452","PFC vs HPP","PFC","HPP","BP","GO:0032496",3.10164711317342,"response to lipopolysaccharide"
"453","PFC vs HPP","PFC","HPP","BP","GO:0032680",2.23433635788755,"regulation of tumor necrosis factor production"
"454","PFC vs HPP","PFC","HPP","BP","GO:0035821",3.29042867832614,"modulation of process of another organism"
"455","PFC vs HPP","PFC","HPP","BP","GO:0042119",1.40423149300639,"neutrophil activation"
"456","PFC vs HPP","PFC","HPP","BP","GO:0044793",1.42746950998867,"negative regulation by host of viral process"
"457","PFC vs HPP","PFC","HPP","BP","GO:0050729",2.64036831363639,"positive regulation of inflammatory response"
"458","PFC vs HPP","PFC","HPP","BP","GO:0050778",1.94700940478785,"positive regulation of immune response"
"459","PFC vs HPP","PFC","HPP","BP","GO:0050818",2.57253850763464,"regulation of coagulation"
"460","PFC vs HPP","PFC","HPP","BP","GO:0050900",9.1993579263181,"leukocyte migration"
"461","PFC vs HPP","PFC","HPP","BP","GO:0051346",2.99560451438918,"negative regulation of hydrolase activity"
"462","PFC vs HPP","PFC","HPP","BP","GO:0052547",2.37176499241766,"regulation of peptidase activity"
"463","PFC vs HPP","PFC","HPP","BP","GO:0060142",1.59203712097678,"regulation of syncytium formation by plasma membrane fusion"
"464","PFC vs HPP","PFC","HPP","BP","GO:0061041",2.37176499241766,"regulation of wound healing"
"465","PFC vs HPP","PFC","HPP","BP","GO:0070098",1.87957010859045,"chemokine-mediated signaling pathway"
"466","PFC vs HPP","PFC","HPP","CC","GO:0001533",1.76963372754235,"cornified envelope"
"467","PFC vs HPP","PFC","HPP","CC","GO:0005766",1.32474795079011,"primary lysosome"
"468","PFC vs HPP","PFC","HPP","CC","GO:0009897",10.7100161658553,"external side of plasma membrane"
"469","PFC vs HPP","PFC","HPP","CC","GO:0030141",2.00797180627796,"secretory granule"
"470","PFC vs HPP","PFC","HPP","CC","GO:0031225",1.76963372754235,"anchored component of membrane"
"471","PFC vs HPP","PFC","HPP","CC","GO:1905286",2.33350160355974,"serine-type peptidase complex"
"472","PFC vs HPP","PFC","HPP","MF","GO:0001618",2.8306088378806,"virus receptor activity"
"473","PFC vs HPP","PFC","HPP","MF","GO:0004175",1.82726361992337,"endopeptidase activity"
"474","PFC vs HPP","PFC","HPP","MF","GO:0004252",3.33111075427191,"serine-type endopeptidase activity"
"475","PFC vs HPP","PFC","HPP","MF","GO:0004866",2.37719783540964,"endopeptidase inhibitor activity"
"476","PFC vs HPP","PFC","HPP","MF","GO:0004953",1.50859748456994,"icosanoid receptor activity"
"477","PFC vs HPP","PFC","HPP","MF","GO:0005539",1.77234397889135,"glycosaminoglycan binding"
"478","PFC vs HPP","PFC","HPP","MF","GO:0008009",2.75088065281539,"chemokine activity"
"479","PFC vs HPP","PFC","HPP","MF","GO:0008528",1.44141148372024,"G protein-coupled peptide receptor activity"
"480","PFC vs HPP","PFC","HPP","MF","GO:0016209",1.94558760881946,"antioxidant activity"
"481","PFC vs HPP","PFC","HPP","MF","GO:0016798",1.35696018383547,"hydrolase activity, acting on glycosyl bonds"
"482","PFC vs HPP","PFC","HPP","MF","GO:0019865",1.35696018383547,"immunoglobulin binding"
"483","PFC vs HPP","PFC","HPP","MF","GO:0030246",9.61482927466104,"carbohydrate binding"
"484","PFC vs HPP","PFC","HPP","MF","GO:0030545",2.37465675072855,"signaling receptor regulator activity"
"485","PFC vs HPP","PFC","HPP","MF","GO:0033130",1.44608077477683,"acetylcholine receptor binding"
"486","PFC vs HPP","PFC","HPP","MF","GO:0033691",1.69543308881902,"sialic acid binding"
"487","PFC vs HPP","PFC","HPP","MF","GO:0038024",1.77234397889135,"cargo receptor activity"
"488","PFC vs HPP","PFC","HPP","MF","GO:0048306",6.23384730561822,"calcium-dependent protein binding"
"489","PFC vs HPP","PFC","HPP","MF","GO:0140375",1.82726361992337,"immune receptor activity"
"490","PFC vs STR","PFC","STR","BP","GO:0001696",1.72049841523018,"gastric acid secretion"
"491","PFC vs STR","PFC","STR","BP","GO:0001878",1.62774827250217,"response to yeast"
"492","PFC vs STR","PFC","STR","BP","GO:0002381",1.41341592611284,"immunoglobulin production involved in immunoglobulin-mediated immune response"
"493","PFC vs STR","PFC","STR","BP","GO:0002503",2.82514680333154,"peptide antigen assembly with MHC class II protein complex"
"494","PFC vs STR","PFC","STR","BP","GO:0002526",2.76279950675584,"acute inflammatory response"
"495","PFC vs STR","PFC","STR","BP","GO:0006820",2.76279950675584,"anion transport"
"496","PFC vs STR","PFC","STR","BP","GO:0007216",1.62774827250217,"G protein-coupled glutamate receptor signaling pathway"
"497","PFC vs STR","PFC","STR","BP","GO:0015849",1.83978558201375,"organic acid transport"
"498","PFC vs STR","PFC","STR","BP","GO:0019886",2.5108254802389,"antigen processing and presentation of exogenous peptide antigen via MHC class II"
"499","PFC vs STR","PFC","STR","BP","GO:0022407",2.82514680333154,"regulation of cell-cell adhesion"
"500","PFC vs STR","PFC","STR","BP","GO:0031620",1.77973758585349,"regulation of fever generation"
"501","PFC vs STR","PFC","STR","BP","GO:0032717",1.55103454779608,"negative regulation of interleukin-8 production"
"502","PFC vs STR","PFC","STR","BP","GO:0034341",3.29880725150151,"response to interferon-gamma"
"503","PFC vs STR","PFC","STR","BP","GO:0042129",1.85495686423344,"regulation of T cell proliferation"
"504","PFC vs STR","PFC","STR","BP","GO:0046500",1.55103454779608,"S-adenosylmethionine metabolic process"
"505","PFC vs STR","PFC","STR","BP","GO:0050829",1.56344481871968,"defense response to Gram-negative bacterium"
"506","PFC vs STR","PFC","STR","BP","GO:0050863",2.59799532151091,"regulation of T cell activation"
"507","PFC vs STR","PFC","STR","BP","GO:0050900",2.82514680333154,"leukocyte migration"
"508","PFC vs STR","PFC","STR","BP","GO:0061844",2.59799532151091,"antimicrobial humoral immune response mediated by antimicrobial peptide"
"509","PFC vs STR","PFC","STR","BP","GO:0106072",1.62774827250217,"negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"510","PFC vs STR","PFC","STR","CC","GO:0009897",5.46554321696796,"external side of plasma membrane"
"511","PFC vs STR","PFC","STR","CC","GO:0030312",1.66940338286383,"external encapsulating structure"
"512","PFC vs STR","PFC","STR","CC","GO:0042613",3.43674818281798,"MHC class II protein complex"
"513","PFC vs STR","PFC","STR","MF","GO:0001618",2.63286579325021,"virus receptor activity"
"514","PFC vs STR","PFC","STR","MF","GO:0001664",3.96680701143427,"G protein-coupled receptor binding"
"515","PFC vs STR","PFC","STR","MF","GO:0005125",2.63286579325021,"cytokine activity"
"516","PFC vs STR","PFC","STR","MF","GO:0005539",3.87903454933941,"glycosaminoglycan binding"
"517","PFC vs STR","PFC","STR","MF","GO:0015106",1.79306966585912,"bicarbonate transmembrane transporter activity"
"518","PFC vs STR","PFC","STR","MF","GO:0023026",5.13388651575934,"MHC class II protein complex binding"
"519","PFC vs STR","PFC","STR","MF","GO:0030246",5.63509914356121,"carbohydrate binding"
"520","PFC vs STR","PFC","STR","MF","GO:0038024",2.65322090804145,"cargo receptor activity"
"521","PFC vs STR","PFC","STR","MF","GO:0042605",2.93021540672069,"peptide antigen binding"
"522","PFC vs STR","PFC","STR","MF","GO:0048306",2.62524543704469,"calcium-dependent protein binding"
"523","PFC vs STR","PFC","STR","MF","GO:1901681",3.47798244677308,"sulfur compound binding"
"524","PFC vs VTA","PFC","VTA","BP","GO:0035115",3.08314435224954,"embryonic forelimb morphogenesis"
"525","STR vs CTX","STR","CTX","BP","GO:0007052",1.78569224970372,"mitotic spindle organization"
"526","STR vs CTX","STR","CTX","BP","GO:0007093",1.78569224970372,"mitotic cell cycle checkpoint signaling"
"527","STR vs CTX","STR","CTX","BP","GO:0007292",1.78569224970372,"female gamete generation"
"528","STR vs CTX","STR","CTX","BP","GO:0048285",1.72622793243185,"organelle fission"
"529","STR vs CTX","STR","CTX","BP","GO:0051304",1.78569224970372,"chromosome separation"
"530","STR vs CTX","STR","CTX","BP","GO:2001251",1.78569224970372,"negative regulation of chromosome organization"
"531","STR vs CTX","STR","CTX","CC","GO:0000922",2.21640881872601,"spindle pole"
"532","STR vs CTX","STR","CTX","CC","GO:0000940",2.28766025794718,"outer kinetochore"
"533","STR vs PFC","STR","PFC","BP","GO:0007218",1.56816410106472,"neuropeptide signaling pathway"
"534","STR vs PFC","STR","PFC","BP","GO:0007626",3.38407275930802,"locomotory behavior"
"535","STR vs PFC","STR","PFC","BP","GO:0042552",3.47717629965247,"myelination"
"536","STR vs PFC","STR","PFC","BP","GO:0043949",1.56816410106472,"regulation of cAMP-mediated signaling"
"537","STR vs PFC","STR","PFC","BP","GO:0048709",3.47717629965247,"oligodendrocyte differentiation"
"538","STR vs PFC","STR","PFC","CC","GO:0034702",1.36240109405326,"ion channel complex"
"539","STR vs PFC","STR","PFC","CC","GO:0043209",4.9421646529521,"myelin sheath"
"540","STR vs PFC","STR","PFC","CC","GO:0044304",2.28763811876782,"main axon"
"541","STR vs PFC","STR","PFC","CC","GO:0097386",1.89863397400278,"glial cell projection"
"542","STR vs PFC","STR","PFC","CC","GO:0099568",1.36240109405326,"cytoplasmic region"
"543","STR vs PFC","STR","PFC","CC","GO:1905360",1.36240109405326,"GTPase complex"
"544","STR vs PFC","STR","PFC","MF","GO:0005539",1.31620234108948,"glycosaminoglycan binding"
"545","STR vs PFC","STR","PFC","MF","GO:0015267",1.3472665191295,"channel activity"
"546","STR vs PFC","STR","PFC","MF","GO:0019911",1.3472665191295,"structural constituent of myelin sheath"
"547","STR vs VTA","STR","VTA","BP","GO:0001505",1.6744350676591,"regulation of neurotransmitter levels"
"548","STR vs VTA","STR","VTA","BP","GO:0016079",2.16940958278729,"synaptic vesicle exocytosis"
"549","STR vs VTA","STR","VTA","BP","GO:0032095",1.72576388373748,"regulation of response to food"
"550","STR vs VTA","STR","VTA","BP","GO:0046928",2.16940958278729,"regulation of neurotransmitter secretion"
"551","STR vs VTA","STR","VTA","BP","GO:0048167",4.23339847631295,"regulation of synaptic plasticity"
"552","STR vs VTA","STR","VTA","BP","GO:0099003",2.16940958278729,"vesicle-mediated transport in synapse"
"553","STR vs VTA","STR","VTA","BP","GO:0099072",1.72576388373748,"regulation of postsynaptic membrane neurotransmitter receptor levels"
"554","STR vs VTA","STR","VTA","BP","GO:0099628",2.01866703669101,"neurotransmitter receptor diffusion trapping"
"555","STR vs VTA","STR","VTA","CC","GO:0005581",1.75843243357824,"collagen trimer"
"556","STR vs VTA","STR","VTA","CC","GO:0019898",1.5042717182042,"extrinsic component of membrane"
"557","STR vs VTA","STR","VTA","CC","GO:0030863",1.44898514351427,"cortical cytoskeleton"
"558","STR vs VTA","STR","VTA","CC","GO:0031253",1.55360276209127,"cell projection membrane"
"559","STR vs VTA","STR","VTA","CC","GO:0032590",3.50547481676592,"dendrite membrane"
"560","STR vs VTA","STR","VTA","CC","GO:0032809",2.32145719787932,"neuronal cell body membrane"
"561","STR vs VTA","STR","VTA","CC","GO:0032839",3.853154157506,"dendrite cytoplasm"
"562","STR vs VTA","STR","VTA","CC","GO:0043235",1.34715396999264,"receptor complex"
"563","STR vs VTA","STR","VTA","CC","GO:0044306",2.94957759500239,"neuron projection terminus"
"564","STR vs VTA","STR","VTA","CC","GO:0044309",3.853154157506,"neuron spine"
"565","STR vs VTA","STR","VTA","CC","GO:0048786",1.5434183338531,"presynaptic active zone"
"566","STR vs VTA","STR","VTA","CC","GO:0060076",1.70298708356726,"excitatory synapse"
"567","STR vs VTA","STR","VTA","CC","GO:0062023",1.43417509180294,"collagen-containing extracellular matrix"
"568","STR vs VTA","STR","VTA","CC","GO:0097060",4.85840447227745,"synaptic membrane"
"569","STR vs VTA","STR","VTA","CC","GO:0098637",1.34715396999264,"protein complex involved in cell-matrix adhesion"
"570","STR vs VTA","STR","VTA","CC","GO:0098978",4.68414824823889,"glutamatergic synapse"
"571","STR vs VTA","STR","VTA","CC","GO:0098992",1.31044540108113,"neuronal dense core vesicle"
"572","STR vs VTA","STR","VTA","CC","GO:0099522",3.54421424534852,"cytosolic region"
"573","STR vs VTA","STR","VTA","CC","GO:0150034",1.41536089231223,"distal axon"
"574","STR vs VTA","STR","VTA","MF","GO:0005201",1.44599464516814,"extracellular matrix structural constituent"
"575","STR vs VTA","STR","VTA","MF","GO:0009931",1.56059339615047,"calcium-dependent protein serine/threonine kinase activity"
"576","STR vs VTA","STR","VTA","MF","GO:0035254",1.68764768114252,"glutamate receptor binding"
"577","VTA vs CTX","VTA","CTX","BP","GO:0000280",10.3767529430482,"nuclear division"
"578","VTA vs CTX","VTA","CTX","BP","GO:0000910",2.78630385835453,"cytokinesis"
"579","VTA vs CTX","VTA","CTX","BP","GO:0001660",4.70005409839357,"fever generation"
"580","VTA vs CTX","VTA","CTX","BP","GO:0001906",1.45160733766722,"cell killing"
"581","VTA vs CTX","VTA","CTX","BP","GO:0001933",1.97105873321398,"negative regulation of protein phosphorylation"
"582","VTA vs CTX","VTA","CTX","BP","GO:0002526",3.00546625023171,"acute inflammatory response"
"583","VTA vs CTX","VTA","CTX","BP","GO:0002683",2.71096164929772,"negative regulation of immune system process"
"584","VTA vs CTX","VTA","CTX","BP","GO:0002696",2.50509814906138,"positive regulation of leukocyte activation"
"585","VTA vs CTX","VTA","CTX","BP","GO:0007052",7.12444561581816,"mitotic spindle organization"
"586","VTA vs CTX","VTA","CTX","BP","GO:0007143",3.66104185527945,"female meiotic nuclear division"
"587","VTA vs CTX","VTA","CTX","BP","GO:0007249",1.45160733766722,"I-kappaB kinase/NF-kappaB signaling"
"588","VTA vs CTX","VTA","CTX","BP","GO:0007346",9.85344890061204,"regulation of mitotic cell cycle"
"589","VTA vs CTX","VTA","CTX","BP","GO:0008360",1.3071882829339,"regulation of cell shape"
"590","VTA vs CTX","VTA","CTX","BP","GO:0008406",2.14034864927969,"gonad development"
"591","VTA vs CTX","VTA","CTX","BP","GO:0010469",1.50027148145266,"regulation of signaling receptor activity"
"592","VTA vs CTX","VTA","CTX","BP","GO:0010951",3.32030650868295,"negative regulation of endopeptidase activity"
"593","VTA vs CTX","VTA","CTX","BP","GO:0018108",1.87303812610623,"peptidyl-tyrosine phosphorylation"
"594","VTA vs CTX","VTA","CTX","BP","GO:0019221",2.44648034781962,"cytokine-mediated signaling pathway"
"595","VTA vs CTX","VTA","CTX","BP","GO:0030217",2.15370225389199,"T cell differentiation"
"596","VTA vs CTX","VTA","CTX","BP","GO:0031349",2.50509814906138,"positive regulation of defense response"
"597","VTA vs CTX","VTA","CTX","BP","GO:0032612",2.55587558786206,"interleukin-1 production"
"598","VTA vs CTX","VTA","CTX","BP","GO:0032642",1.62488647734112,"regulation of chemokine production"
"599","VTA vs CTX","VTA","CTX","BP","GO:0033002",1.64945619295098,"muscle cell proliferation"
"600","VTA vs CTX","VTA","CTX","BP","GO:0034405",2.12322011638278,"response to fluid shear stress"
"601","VTA vs CTX","VTA","CTX","BP","GO:0035767",1.31327483076681,"endothelial cell chemotaxis"
"602","VTA vs CTX","VTA","CTX","BP","GO:0035914",1.42376208696862,"skeletal muscle cell differentiation"
"603","VTA vs CTX","VTA","CTX","BP","GO:0044342",1.9910159841564,"type B pancreatic cell proliferation"
"604","VTA vs CTX","VTA","CTX","BP","GO:0045428",2.12805121132682,"regulation of nitric oxide biosynthetic process"
"605","VTA vs CTX","VTA","CTX","BP","GO:0045732",2.101524396803,"positive regulation of protein catabolic process"
"606","VTA vs CTX","VTA","CTX","BP","GO:0045785",3.45407149415078,"positive regulation of cell adhesion"
"607","VTA vs CTX","VTA","CTX","BP","GO:0045833",2.24211852174672,"negative regulation of lipid metabolic process"
"608","VTA vs CTX","VTA","CTX","BP","GO:0045861",2.70712573020206,"negative regulation of proteolysis"
"609","VTA vs CTX","VTA","CTX","BP","GO:0045932",1.9910159841564,"negative regulation of muscle contraction"
"610","VTA vs CTX","VTA","CTX","BP","GO:0046394",1.99917051697249,"carboxylic acid biosynthetic process"
"611","VTA vs CTX","VTA","CTX","BP","GO:0046685",2.07433274836773,"response to arsenic-containing substance"
"612","VTA vs CTX","VTA","CTX","BP","GO:0048608",1.41779316806115,"reproductive structure development"
"613","VTA vs CTX","VTA","CTX","BP","GO:0051051",1.63127032036984,"negative regulation of transport"
"614","VTA vs CTX","VTA","CTX","BP","GO:0051223",1.99460329578901,"regulation of protein transport"
"615","VTA vs CTX","VTA","CTX","BP","GO:0051276",6.79295786965907,"chromosome organization"
"616","VTA vs CTX","VTA","CTX","BP","GO:0051310",3.90544256620943,"metaphase plate congression"
"617","VTA vs CTX","VTA","CTX","BP","GO:0051347",3.82080519785881,"positive regulation of transferase activity"
"618","VTA vs CTX","VTA","CTX","BP","GO:0051403",1.3468534192471,"stress-activated MAPK cascade"
"619","VTA vs CTX","VTA","CTX","BP","GO:0051956",1.64341449981995,"negative regulation of amino acid transport"
"620","VTA vs CTX","VTA","CTX","BP","GO:0055078",1.39170348225829,"sodium ion homeostasis"
"621","VTA vs CTX","VTA","CTX","BP","GO:0071216",2.87248558080709,"cellular response to biotic stimulus"
"622","VTA vs CTX","VTA","CTX","BP","GO:0071396",1.64945619295098,"cellular response to lipid"
"623","VTA vs CTX","VTA","CTX","BP","GO:0097192",1.42376208696862,"extrinsic apoptotic signaling pathway in absence of ligand"
"624","VTA vs CTX","VTA","CTX","BP","GO:0097193",2.34145278300925,"intrinsic apoptotic signaling pathway"
"625","VTA vs CTX","VTA","CTX","BP","GO:0098813",8.88946187844796,"nuclear chromosome segregation"
"626","VTA vs CTX","VTA","CTX","BP","GO:0140013",7.14654438051732,"meiotic nuclear division"
"627","VTA vs CTX","VTA","CTX","BP","GO:1901342",2.94058761649246,"regulation of vasculature development"
"628","VTA vs CTX","VTA","CTX","BP","GO:1902074",2.61281757319073,"response to salt"
"629","VTA vs CTX","VTA","CTX","BP","GO:1905954",2.0302350005572,"positive regulation of lipid localization"
"630","VTA vs CTX","VTA","CTX","BP","GO:1990266",2.88959058183913,"neutrophil migration"
"631","VTA vs CTX","VTA","CTX","BP","GO:2000271",1.90017804567757,"positive regulation of fibroblast apoptotic process"
"632","VTA vs CTX","VTA","CTX","CC","GO:0000307",2.90841299721276,"cyclin-dependent protein kinase holoenzyme complex"
"633","VTA vs CTX","VTA","CTX","CC","GO:0005819",5.39541063660003,"spindle"
"634","VTA vs CTX","VTA","CTX","CC","GO:0030496",3.3981389407301,"midbody"
"635","VTA vs CTX","VTA","CTX","CC","GO:0045171",3.77543893099769,"intercellular bridge"
"636","VTA vs CTX","VTA","CTX","CC","GO:0098687",5.51973183535996,"chromosomal region"
"637","VTA vs CTX","VTA","CTX","MF","GO:0001968",1.44413770088547,"fibronectin binding"
"638","VTA vs CTX","VTA","CTX","MF","GO:0005125",4.04568482860913,"cytokine activity"
"639","VTA vs CTX","VTA","CTX","MF","GO:0005126",2.32541865518462,"cytokine receptor binding"
