"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","geneID","Dataset","Region","Comparison"
"980","BP","GO:0043583","ear development","46/1771","212/16153",4.13391715174629e-06,0.000455574543253673,0.000414279774713135,46,"Rdh10/Epha4/Tgfb2/Ahi1/Hey2/Sobp/Otx1/Wdpcp/Sox9/Six4/Esrrb/Adgrv1/Bmp4/Otx2/Fzd3/Cthrc1/Fzd6/Oc90/Celsr1/Spag6l/Ddr1/Ptk7/Ttc39c/Gata3/Neurod1/Sox2/Frem2/Plppr4/Mcoln3/Ror1/Grhl3/Msx1/Wdr19/Atp2b2/Gabrb3/Tsku/Fgfr2/Fgfr1/Rpgrip1l/Cdh1/C1qtnf5/Stra6/Pls1/Zic3/Shroom2/Gsc","HPP vs VTA","HPP","VTA"
"981","BP","GO:0043616","keratinocyte proliferation","14/1771","47/16153",0.000355663542368805,0.0141219347705261,0.0128418763556538,14,"Ptprk/Stxbp4/Snai2/Ift57/Mdk/Intu/Ift80/Ift74/Kdf1/Sfn/Ift122/Fgfr2/Cdh3/Yap1","HPP vs VTA","HPP","VTA"
"982","BP","GO:0043616","keratinocyte proliferation","18/1861","47/16153",1.99208656885123e-06,0.000239758685708851,0.000223020498678877,18,"Irf6/Ptprk/Stxbp4/Eppk1/Ift57/Klf9/Mdk/Fgf7/Intu/Ift80/Ift74/Kdf1/Sfn/Ift122/Fgfr2/Cdh3/Yap1/Trp63","HPP vs STR","HPP","STR"
"983","BP","GO:0043616","keratinocyte proliferation","18/2188","47/16153",1.99326182082999e-05,0.00177689646511731,0.00163318871771231,18,"Ptprk/Stxbp4/Eppk1/Ift57/Klf9/Mdk/Fgf7/Intu/Ift80/Ift74/Kdf1/Sfn/Ift122/Fgfr2/Cdh3/Cdh13/Yap1/Trp63","HPP vs PFC","HPP","PFC"
"984","BP","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","4/214","48/16153",0.00369454567962858,0.0454320910143448,0.0369210488750375,4,"Cited2/Cebpb/Sesn2/Ppp1r15a","VTA vs HPP","VTA","HPP"
"985","BP","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","8/436","48/16153",3.86548075474055e-05,0.00914072507885707,0.0082479546011368,8,"Cited2/Egr1/Creb3l1/Cebpb/Sesn2/Ppp1r15a/Ces1d/Chek1","VTA vs PFC","VTA","PFC"
"986","BP","GO:0043620","regulation of DNA-templated transcription in response to stress","8/436","52/16153",7.01516801545929e-05,0.0128186251918847,0.011566635876207,8,"Cited2/Egr1/Creb3l1/Cebpb/Sesn2/Ppp1r15a/Ces1d/Chek1","VTA vs PFC","VTA","PFC"
"987","BP","GO:0043903","regulation of biological process involved in symbiotic interaction","3/57","57/16153",0.00106493697921285,0.0208557679601026,0.0164692727568821,3,"Cd74/Cd4/Ifitm6","VTA vs STR","VTA","STR"
"988","BP","GO:0043949","regulation of cAMP-mediated signaling","5/199","40/16153",0.000125083320709544,0.027029368484235,0.0264649973290719,5,"Pex5l/Lpar1/Gnai1/Rasd2/Gpr62","STR vs PFC","STR","PFC"
"989","BP","GO:0044070","regulation of anion transport","9/436","90/16153",0.000715949439959476,0.0405368556146069,0.0365776392898496,9,"Adora1/Abat/Il1rn/Il1a/Cebpb/Car2/Slc6a1/Ces1d/Agt","VTA vs PFC","VTA","PFC"
"990","BP","GO:0044089","positive regulation of cellular component biogenesis","2/4","479/16153",0.00506039301996443,0.0432551767961808,0.015563585143889,2,"Cxcl13/Nox4","PFC vs CTX","PFC","CTX"
"991","BP","GO:0044089","positive regulation of cellular component biogenesis","76/1792","479/16153",0.000810523035178446,0.0330681300994072,0.0302561308968419,76,"Epb41l5/Cd24a/Cobl/Hap1/Mapt/Sox9/Sdc1/Plek2/Flrt2/Ntrk2/Map1b/Lgals3/Clu/Sorbs3/Slain1/Dzip1/Enpp2/Baiap2l2/Amigo2/Cldn1/Phldb2/Thbs2/Vegfa/Crb3/Efna5/Mpp7/Lrrtm2/Myo5b/Cdc42ep2/Flrt1/Plce1/Prkcq/Nphp1/Flrt3/Bmp7/Pfn2/Gpsm2/Musk/Lpar1/Ptprd/Nphp4/Kit/Hopx/Cxcl13/Cux2/Hip1r/Cldn3/Baiap2l1/Epha1/Arhgef5/Cntnap2/Aqp1/Lrrn1/Cav3/Clstn3/Arhgap35/Fuz/Nox4/Ccp110/Caly/Eps8l2/Cttn/Arhgef10/Gpm6a/Cx3cl1/Tppp3/Zdhhc1/Anln/Phldb1/Mns1/Tpbg/Snap91/Zmynd10/Hyal1/Nlgn3/Slitrk6","HPP vs CTX","HPP","CTX"
"992","BP","GO:0044283","small molecule biosynthetic process","15/214","450/16153",0.000998460511952949,0.0163937175677638,0.0133225927763672,15,"Ptgs2/Fcer1a/Plek/Alox15/Mpo/Elovl2/Tnf/Anxa1/Trib3/Prkab2/Sesn2/Il6/Spp1/Asns/Acsbg1","VTA vs HPP","VTA","HPP"
"993","BP","GO:0044283","small molecule biosynthetic process","25/436","450/16153",0.000551513015047647,0.0351195016586626,0.0316893958407309,25,"Ptgs2/Pycr1/Abat/Tnf/Haao/Egr1/Fgf1/Fads2/Aldh1a1/Scd3/Trib3/Prkab2/Elovl6/Cyp2j6/Sesn2/Acot7/Insig1/Spp1/Asns/Dgat2/Lpl/Ces1d/Fa2h/Agt/Plp1","VTA vs PFC","VTA","PFC"
"994","BP","GO:0044342","type B pancreatic cell proliferation","4/224","27/16153",0.000491775919503985,0.0102090190884372,0.0079843965078695,4,"Birc5/Serpinb1a/Nr4a1/Nupr1","VTA vs CTX","VTA","CTX"
"995","BP","GO:0044344","cellular response to fibroblast growth factor stimulus","19/1792","80/16153",0.000979905477238113,0.0380754224851,0.0348376204883262,19,"Sulf1/Gpc1/Fgf18/Ngfr/Flrt2/Shisa2/Spry2/Flrt1/Gata3/Creb3l1/Flrt3/Cxcl13/Fgfrl1/Kl/Fuz/Fgfr2/Sfrp1/Fgfr1/Hyal1","HPP vs CTX","HPP","CTX"
"996","BP","GO:0044344","cellular response to fibroblast growth factor stimulus","21/1861","80/16153",0.000209647684702415,0.0119521248457714,0.0111177154458256,21,"Sulf1/Gpc1/Fgf18/Ngfr/Flrt2/Shisa2/Chrd/Flrt1/Gata3/Creb3l1/Fgf7/Flrt3/Cxcl13/Fgfrl1/Kl/Fuz/Iqgap1/Fgfr2/Sfrp1/Fgfr1/Hyal1","HPP vs STR","HPP","STR"
"997","BP","GO:0044344","cellular response to fibroblast growth factor stimulus","22/2188","80/16153",0.000726185480030234,0.0271418870334197,0.0249467678903152,22,"Sulf1/Gpc1/Fgf18/Ngfr/Flrt2/Shisa2/Spry2/Flrt1/Gata3/Creb3l1/Fgf7/Kif16b/Flrt3/Cxcl13/Fgfrl1/Kl/Fuz/Fgfr2/Sfrp1/Fgfr1/Hhip/Hyal1","HPP vs PFC","HPP","PFC"
"998","BP","GO:0044409","entry into host","3/57","86/16153",0.00346525653518331,0.0426204119898351,0.0336562619709847,3,"Cd74/Cd4/Ifitm6","VTA vs STR","VTA","STR"
"999","BP","GO:0044458","motile cilium assembly","34/1792","54/16153",8.82768859378883e-20,6.89442479174907e-17,6.30814679664429e-17,34,"Spag16/Ahi1/Armc2/Cfap54/Pla2g3/Foxj1/Ccdc40/Ttll5/Dzip1/Spef2/Lrrc6/Spag6l/Iqcg/Cfap44/Ift57/Rsph9/Cfap43/Meig1/Cfap157/Ccdc39/Intu/Cfap206/Spata6/Cfap69/Ift81/Dnaaf3/Klc3/Drc7/Dnaaf1/Jhy/Ttc12/Mns1/Zmynd10/Ulk4","HPP vs CTX","HPP","CTX"
"1000","BP","GO:0044458","motile cilium assembly","35/1771","54/16153",4.16377802088211e-21,2.81055016409543e-18,2.55579269308093e-18,35,"Spag16/Cfap221/Ahi1/Armc2/Cfap54/Foxj1/Ccdc40/Ttll5/Dzip1/Spef2/Lrrc6/Spag6l/Iqcg/Cfap44/Ift57/Rsph9/Cfap43/Cfap58/Meig1/Cfap157/Ccdc39/Intu/Spag17/Cfap206/Cfap69/Cc2d2a/Ift81/Klc3/Drc7/Dnaaf1/Jhy/Ttc12/Mns1/Zmynd10/Ulk4","HPP vs VTA","HPP","VTA"
"1001","BP","GO:0044458","motile cilium assembly","35/1861","54/16153",2.13791237645031e-20,1.44736667885686e-17,1.34632218864358e-17,35,"Spag16/Cfap221/Ahi1/Armc2/Cfap54/Foxj1/Ccdc40/Ttll5/Dzip1/Spef2/Lrrc6/Spag6l/Iqcg/Cfap44/Ift57/Rsph9/Cfap43/Meig1/Cfap157/Ccdc39/Intu/Spag17/Cfap206/Spata6/Cfap69/Ift81/Dnaaf3/Klc3/Drc7/Dnaaf1/Jhy/Ttc12/Mns1/Zmynd10/Ulk4","HPP vs STR","HPP","STR"
"1002","BP","GO:0044458","motile cilium assembly","37/2188","54/16153",2.55555825089029e-20,1.56939671696341e-17,1.44247065716919e-17,37,"Spag16/Cfap221/Ahi1/Armc2/Cfap54/Foxj1/Ccdc40/Ttll5/Dnah1/Dzip1/Spef2/Lrrc6/Spag6l/Iqcg/Cfap44/Ift57/Rsph9/Cfap43/Cfap58/Meig1/Cfap157/Ccdc39/Intu/Spag17/Cfap206/Spata6/Cfap69/Ift81/Dnaaf3/Klc3/Drc7/Dnaaf1/Jhy/Ttc12/Mns1/Zmynd10/Ulk4","HPP vs PFC","HPP","PFC"
"1003","BP","GO:0044772","mitotic cell cycle phase transition","26/224","427/16153",2.53974380370417e-10,4.16517983807484e-08,3.25755560506688e-08,26,"Nabp1/Nuf2/Dtl/Ccl2/Birc5/Rrm2/Cks2/Ccnb1/Adamts1/Cdkn1a/Cdca5/Spc25/Bub1/Ube2c/Ccna2/Cenpe/Ccne2/Klf4/Stil/Plk3/Cdc20/Cdca8/Clspn/Plk1/Ccnb2/Ttk","VTA vs CTX","VTA","CTX"
"1004","BP","GO:0044772","mitotic cell cycle phase transition","4/17","427/16153",0.000871713785568207,0.0187833074656385,0.0125760060725901,4,"Nabp1/Rrm2/Ccnb1/Plk1","STR vs CTX","STR","CTX"
"1005","BP","GO:0044773","mitotic DNA damage checkpoint signaling","6/224","73/16153",0.000522011837884909,0.0106891031191627,0.00835986659223346,6,"Dtl/Pbk/Cdkn1a/Ppp1r10/Clspn/Plk1","VTA vs CTX","VTA","CTX"
"1006","BP","GO:0044774","mitotic DNA integrity checkpoint signaling","6/224","77/16153",0.000694443254607562,0.012796482444454,0.0100080320016477,6,"Dtl/Pbk/Cdkn1a/Ppp1r10/Clspn/Plk1","VTA vs CTX","VTA","CTX"
"1007","BP","GO:0044782","cilium organization","121/1792","328/16153",2.67389959504768e-35,1.46182090861257e-31,1.33751272375438e-31,121,"Dnah7c/Tmem237/Spag16/Catip/Stk36/Daw1/Armc9/Traf3ip1/Cfap126/Syne1/Ahi1/Rsph4a/Armc2/Cfap54/Cep290/Pla2g3/Tmem17/Wdpcp/Fam161a/B9d1/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Hap1/Ccdc103/Foxj1/Ccdc40/Ccdc57/Wdr35/Syne2/Dnal1/Fam161b/Ift43/Ttll5/Ak7/Dcdc2a/Mak/Kif27/Cdc14b/Dzip1/Spef2/Lrrc6/Tekt5/Spag6l/Gmnc/Cep19/Iqcg/Cfap44/Ift57/Arl6/Tekt4/Wdr90/Rsph1/Rsph9/Rfx2/Dync2li1/Ttc39c/Nme5/Cfap53/Bbs1/Arl3/Cfap43/Eno4/Meig1/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Ccdc39/Intu/Ift80/Pifo/Celsr2/Odf2l/Ssx2ip/Cfap206/Kif24/Ift74/Spata6/Ubxn10/Cfap69/Ccdc96/Wdr19/Ift81/Tctn2/Ift22/Iqub/Ttc26/Ift122/Dnaaf3/Arhgap35/Klc3/Cep89/Fuz/Cfap161/Dnajb13/Parva/Ccp110/Zfp423/Rpgrip1l/Drc7/Ccdc113/Tmem231/Dnaaf1/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Mns1/Lca5/Cep162/Dzip1l/Zmynd10/Ttc21a/Ulk4/Ccdc13/Rpgr","HPP vs CTX","HPP","CTX"
"1008","BP","GO:0044782","cilium organization","127/1771","328/16153",3.91644451416527e-40,2.11488003764924e-36,1.92318038511379e-36,127,"Dnah7c/Dnah7a/Tmem237/Spag16/Catip/Stk36/Daw1/Armc9/Traf3ip1/Cfap221/Cfap126/Syne1/Ahi1/Rsph4a/Armc2/Cfap54/Cep290/Bbs10/Tmem17/Wdpcp/Fam161a/B9d1/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Hap1/Ccdc103/Kif19a/Foxj1/Ccdc40/Ccdc57/Wdr35/Syne2/Dnal1/Fam161b/Ift43/Ttll5/Ak7/Dcdc2a/Mak/Kif27/Cdc14b/Cfap70/Dzip1/Zic2/Spef2/Lrrc6/Tekt5/Spag6l/Gmnc/Cep19/Iqcg/Cfap44/Ift57/Arl6/Tekt4/Wdr90/Rsph1/Rsph9/Rfx2/Dync2li1/Ttc39c/Nme5/Cfap53/Bbs1/Arl3/Cfap43/Cfap58/Eno4/Meig1/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Lama5/Ccdc39/Intu/Ift80/Spag17/Pifo/Celsr2/Odf2l/Cfap206/Ift74/Tekt2/Ubxn10/Crocc/Cfap69/Drc1/Ccdc96/Cc2d2a/Wdr19/Ift81/Tctn2/Iqub/Ttc26/Ift122/Arhgap35/Klc3/Cep89/Fuz/Cfap161/Parva/Zfp423/Rpgrip1l/Drc7/Ccdc113/Tmem231/Dnaaf1/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Lrrc49/Mns1/Lca5/Cep162/Dzip1l/Zmynd10/Ttc21a/Ulk4/Ccdc13/Rpgr","HPP vs VTA","HPP","VTA"
"1009","BP","GO:0044782","cilium organization","132/1861","328/16153",1.76254809592166e-41,9.54596048751173e-38,8.87953177587482e-38,132,"Dnah7b/Dnah7c/Dnah7a/Tmem237/Spag16/Catip/Stk36/Daw1/Armc9/Traf3ip1/Cfap221/Cfap126/Syne1/Ahi1/Rsph4a/Armc2/Cfap54/Cep290/Tmem17/Wdpcp/Fam161a/B9d1/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Hap1/Ccdc103/Foxj1/Ccdc40/Wdr35/Syne2/Fam161b/Ift43/Ttll5/Ak7/Dcdc2a/Mak/Kif27/Cdc14b/Cfap70/Dzip1/Zic2/Spef2/Spag1/Lrrc6/Mapk15/Ttll8/Ccdc65/Tekt5/Spag6l/Gmnc/Cep19/Iqcg/Cfap44/Ift57/Arl6/Tekt4/Wdr90/Dnah8/Rsph1/Rsph9/Rfx2/Dync2li1/Ttc39c/Nme5/Cfap53/Bbs1/Tmem216/Arl3/Cfap43/Eno4/Meig1/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Lama5/Ccdc39/Intu/Ift80/Spag17/Pifo/Celsr2/Odf2l/Ssx2ip/Tmem67/Cfap206/Kif24/Ift74/Spata6/Ubxn10/Cfap69/Drc1/Ccdc96/Wdr19/Ift81/Tctn2/Ift22/Iqub/Ttc26/Ift122/Dnaaf3/Arhgap35/Klc3/Cep89/Fuz/Cfap161/Dnajb13/Parva/Zfp423/Rpgrip1l/Drc7/Ccdc113/Tmem231/Dnaaf1/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Mns1/Lca5/Cep162/Dzip1l/Zmynd10/Ttc21a/Ulk4/Ccdc13/Rpgr","HPP vs STR","HPP","STR"
"1010","BP","GO:0044782","cilium organization","138/2188","328/16153",6.90001149154068e-38,3.81363635137453e-34,3.50520583770267e-34,138,"Dnah7b/Dnah7c/Dnah7a/Tmem237/Spag16/Catip/Stk36/Daw1/Traf3ip1/Cfap221/Cfap126/Syne1/Ahi1/Rsph4a/Armc2/Rfx4/Cfap54/Tmem17/Wdpcp/Fam161a/B9d1/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Hap1/Ccdc103/Foxj1/Ccdc40/Wdr35/Syne2/Dnal1/Fam161b/Ift43/Ttll5/Ak7/Dcdc2a/Mak/Kif27/Cdc14b/Cfap70/Dnah1/Dzip1/Zic2/Spef2/Dnah5/Spag1/Lrrc6/Mapk15/Kctd17/Ttll8/Ccdc65/Tekt5/Spag6l/Gmnc/Cep19/Iqcg/Cfap44/Ift57/Arl6/Tekt4/Wdr90/Rsph1/Rsph9/Rfx2/Dync2li1/Ttc39c/Nme5/Cfap53/Bbs1/Arl3/Cfap43/Cfap58/Eno4/Meig1/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Lama5/Ccdc39/Intu/Ift80/Spag17/Pifo/Celsr2/Odf2l/Ssx2ip/Cfap206/Kif24/Ift74/Spata6/Tekt2/Ubxn10/Crocc/Cfap69/Drc1/Ccdc96/Wdr19/Ift81/Tctn2/Ift22/Iqub/Lrguk/Ttc26/Ift122/Dnaaf3/Arhgap35/Klc3/Fuz/Cfap161/Dnajb13/Parva/Ccp110/Zfp423/Rpgrip1l/Drc7/Ccdc113/Hydin/Tmem231/Dnaaf1/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Mns1/Lca5/Cep162/Dzip1l/Zmynd10/Ttc21a/Ulk4/Ccdc13/Cdkl5/Ttc29","HPP vs PFC","HPP","PFC"
"1011","BP","GO:0044784","metaphase/anaphase transition of cell cycle","11/224","93/16153",6.41718212598393e-08,4.04776103331294e-06,3.16572324717061e-06,11,"Nuf2/Birc5/Ccnb1/Spc25/Bub1/Ube2c/Cenpe/Cdc20/Cdca8/Plk1/Ttk","VTA vs CTX","VTA","CTX"
"1012","BP","GO:0044784","metaphase/anaphase transition of cell cycle","2/17","93/16153",0.00421587713258217,0.0420158602365817,0.0281309196714671,2,"Ccnb1/Plk1","STR vs CTX","STR","CTX"
"1013","BP","GO:0044793","negative regulation by host of viral process","2/114","10/16153",0.00214115071914068,0.0373706360832224,0.032166611102335,2,"Ccl8/Ltf","PFC vs HPP","PFC","HPP"
"1014","BP","GO:0044818","mitotic G2/M transition checkpoint","2/17","49/16153",0.00119086848824245,0.0187833074656385,0.0125760060725901,2,"Nabp1/Plk1","STR vs CTX","STR","CTX"
"1015","BP","GO:0044818","mitotic G2/M transition checkpoint","5/224","49/16153",0.000569108776467079,0.0111777053102516,0.00874199866530269,5,"Nabp1/Dtl/Cdkn1a/Clspn/Plk1","VTA vs CTX","VTA","CTX"
"1016","BP","GO:0044839","cell cycle G2/M phase transition","3/17","144/16153",0.000430502566839995,0.0163797681544431,0.0109667620654524,3,"Nabp1/Ccnb1/Plk1","STR vs CTX","STR","CTX"
"1017","BP","GO:0044839","cell cycle G2/M phase transition","9/224","144/16153",0.000181848326716555,0.00484928871244147,0.00379259197439661,9,"Nabp1/Dtl/Birc5/Ccnb1/Cdkn1a/Ccna2/Clspn/Plk1/Ccnb2","VTA vs CTX","VTA","CTX"
"1018","BP","GO:0045026","plasma membrane fusion","1/4","11/16153",0.00272142347336468,0.0432551767961808,0.015563585143889,1,"Folr2","PFC vs CTX","PFC","CTX"
"1019","BP","GO:0045055","regulated exocytosis","4/26","258/16153",0.00072071610960883,0.0292101999717932,0.0213760381735374,4,"Cplx2/Camk2a/Rims3/Prkcg","STR vs VTA","STR","VTA"
"1020","BP","GO:0045071","negative regulation of viral genome replication","4/214","46/16153",0.00316276881409523,0.0404146849766343,0.0328435809573551,4,"Tnf/Slpi/Ifitm6/Ltf","VTA vs HPP","VTA","HPP"
"1021","BP","GO:0045088","regulation of innate immune response","9/214","209/16153",0.00191184063514869,0.0278163347856535,0.0226053486250775,9,"Il18rap/Sh2d1b1/Ulbp1/Socs1/Masp1/Trem3/Fgr/Klri1/Adam8","VTA vs HPP","VTA","HPP"
