"accession_code" "MElightgreen" "MEblack" "MEmediumpurple3" "MEmediumorchid" "MEred" "MEskyblue" "MEdarkseagreen4" "MEgreenyellow" "MEivory" "MEcyan" "MEantiquewhite4" "MElightsteelblue1" "MEdarkslateblue" "MEdarkolivegreen" "MEcoral2" "MEnavajowhite2" "MEblue" "MEdarkgreen" "MElightcyan" "MEbisque4" "MEgreen" "MEplum2" "MEskyblue1" "MEyellowgreen" "MEbrown4" "MEsalmon4" "MEcoral1" "MEpalevioletred3" "MEhoneydew1" "MElavenderblush3" "MEsteelblue" "MEthistle1" "MEgrey" "time_point"
"1" "MCTX5" -0.0369032235781889 -0.0965808862247294 -0.0926197393792608 -0.0790701249327023 0.188202515375168 0.136885515370658 -0.0321208967857079 0.06661673506861 -0.0535095053937462 -0.00972589003594757 0.100308997793695 -0.0203180811438831 -0.0713839928983887 -0.0596198146248422 -0.126639577913957 -0.107449858136552 -0.108396966514897 -0.171229846752626 -0.110887602733555 0.203146527133032 -0.103366140747424 0.204252692005237 0.0550177746489682 0.18765042666586 0.0315690673944123 0.0814221739164845 0.0958267500557962 0.0958616332463866 -0.062974144980045 0.0693303710362555 0.00406717754710557 -0.0630083500372255 0.244869472397651 "CTX"
"2" "MCTX6" -0.180244721081195 -0.102094294844511 -0.257143173591758 -0.0815689083171361 0.11274950592547 -0.174734143424041 -0.0691556376486461 -0.140500396974485 -0.270378494027141 -0.0465850101337345 0.0840095285531027 -0.0661186834878567 -0.0718273943155637 -0.0511426991717655 -0.207428267529698 -0.228151800469457 0.160078210397654 -0.212714559098445 -0.156584595836101 -0.151311441252723 -0.102851134361233 -0.24818624421083 -0.265203850067128 -0.327019267407332 -0.0309627128395839 0.2160787085184 0.294305837455802 0.135421040627121 0.172281536033016 0.220170032510167 0.241413105408132 0.204952783091094 0.00274810824491861 "CTX"
"3" "MCTX8" 0.112086336329037 -0.127095161154756 -0.0424040824095942 -0.109859814893821 -0.131407160677119 0.157935532404471 0.00431555872616748 0.041284091262191 0.193664260072793 0.131206706618349 0.274289133741607 0.335633305617992 -0.0695241428077921 0.0447653842384696 -0.0378278931964375 -0.0496277743828089 -0.310081911254277 -0.22561133004364 -0.0681664711178712 -0.0376611569010395 -0.184695238552601 0.156976832093922 -0.194786120372449 -0.0441192480395281 0.368444211501374 0.196281833797098 0.0949634785521904 0.183837913691999 -0.183831531249722 -0.0314738005602141 -0.162839137157521 -0.213877179206368 0.126089707215558 "CTX"
"4" "MCTX9" 0.0955528060410887 -0.0815617590514702 -0.0022765817453906 0.180684429994874 0.1202173979707 0.241964873100119 -0.0249133736297399 0.0339046824193222 0.309484853589743 0.138103741328328 0.239300907037803 0.294416182887791 -0.0258763913092009 -0.0107687907810034 -0.0426469168646634 -0.0742474818617232 -0.323816852068532 -0.215893325014584 0.0381850298827682 0.270211357461185 -0.0313753396908151 -0.0744007428424314 -0.178986423236286 -0.107709764195215 0.248665650634078 0.111870202280691 0.0575806674829179 0.0892053216762972 -0.263525021725557 -0.182886401680209 -0.0574135784604619 -0.284698424309777 0.269530918064375 "CTX"
"5" "MHPP4" 0.256079533245879 0.41412541924268 0.384310145086112 0.132275031899211 0.205931619440277 0.283786229282463 -0.110247148366936 0.0980776290332181 0.0604276662731999 -0.354569573999426 -0.330258454869167 -0.245696517919593 -0.0835287713311437 -0.329223406601415 0.0992732283927204 -0.0865686018161276 -0.186889829544806 0.179942715876451 -0.0991688880018427 0.265862625517952 0.490896773444757 -0.132104000185241 -0.0350202238816142 -0.0304310171786488 -0.089550371183353 -0.393091626977964 -0.148201695144931 0.101714246959213 0.201054579785033 0.0149413950863495 0.0583686934638796 -0.410328736396849 0.124468436174857 "HPP"
"6" "MHPP5" 0.0661869990238148 0.323439417502547 0.125618697156261 0.00795874560330666 0.235557396715815 0.191505212729924 0.00740075717373631 -0.315393013738978 -0.184650940605029 -0.370799857814014 -0.327032640327148 -0.316210846673294 -0.0614492282993476 -0.276280292592761 -0.082523241641695 -0.086517562239922 -0.0336198631758647 0.0634466899049889 -0.105139936077133 -0.1150031333772 0.188310028280505 -0.0504541964178066 -0.13262070251836 -0.233077797601523 -0.00172377875698158 -0.320415938345409 -0.202081683147023 -0.00436965258681576 0.302580607740575 0.108621491357634 -0.0678375537119453 0.0662267989512717 -0.144847089218929 "HPP"
"7" "MHPP6" 0.239591604743133 0.240083756063692 -0.088766403429374 0.0197235973432044 0.00129761089298661 0.0649227956705632 -0.0970578631126081 -0.206135210906229 -0.219022145701734 -0.290893569649026 -0.147351482737538 -0.0968724116027504 -0.101725504678916 0.278544620400626 0.381984814601778 0.273868251469133 -0.166199348572903 0.0316638025896491 -0.263620267314248 -0.079089620988101 0.237765027203806 -0.221038912879164 -0.0630410017060596 -0.149186199367286 -0.280976392428556 -0.319766028500952 -0.198436900372909 0.0331524813723906 0.130273301779515 -0.122804474150356 -0.14148505111165 0.268430804818794 -0.375813626801726 "HPP"
"8" "MHPP7" 0.40501784794226 0.507443353596303 0.464147660104672 0.0706692996411183 0.128880295289078 0.174710750909731 -0.0718215548197544 -0.0172773352243732 0.00860691400569499 -0.449383609291934 -0.320431439049909 -0.32022174571642 -0.00925585826106671 -0.343330204472738 0.188480199648948 -0.142378496807282 -0.143776075454857 0.105575102511191 -0.13243672973944 -0.185439491784251 0.103194326317236 -0.316630240690084 -0.0884898264621121 -0.169382722885767 -0.16689700658587 -0.327604014665787 0.123726847167361 0.322202302767079 0.481873129162694 0.0778562577739801 -0.111625413004866 -0.268123450666304 -0.082087064431301 "HPP"
"9" "MHPP8" 0.0824641988895399 0.130502131265996 0.0434318543310984 -0.0587285269548279 -0.126602402574694 0.0824625797510864 0.949296472002261 -0.0415226332075818 -0.0380737815031329 -0.12106155757993 -0.123070638442849 0.100612098643451 0.0433494929380365 0.209227569284609 0.270747873550075 0.167278986265482 -0.150015425946833 0.0803690022023325 -0.0562820471072406 -0.162533148272182 0.164002153165739 0.0219183353429484 -0.0593759229839277 -0.0155829335267031 0.232819343169821 -0.227200026075165 -0.202840913169721 -0.0991038581259786 -0.186647073965518 -0.0856592314416021 -0.105715520681099 -0.0398698227418283 -0.0520651961130696 "HPP"
"10" "MHPP9" 0.414305312649508 0.392305569125077 0.393316554606652 -0.0339093615110914 -0.072475471726767 0.248612993464104 0.0787474565895941 -0.17724310572248 0.332459238161378 -0.133436911234011 -0.0976678538320351 0.219843280458174 0.00477244558128401 -0.0487913828949954 0.355923503310501 0.198277910226852 -0.219330160969875 0.0746298167294902 0.0994324676913764 -0.282923244475854 -0.0149426090467003 -0.32042208196421 -0.209511232845739 -0.155313053030648 -0.401127834713835 -0.21038763444602 0.0903756322060311 0.280701745284606 0.207360100987222 -0.371973717900024 -0.200927037861809 -0.278094583214077 -0.043378634024561 "HPP"
