"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"11" "black" "R-MMU-8978868" "Fatty acid metabolism" "44/979" "138/6837" 9.10471593631952e-08 7.12650947379191e-06 6.81328982028886e-06 "Acadl/Dbi/Ggt1/Gpx4/Slc22a5/Acsl6/Acadvl/Acox1/Acot1/Elovl7/Acox2/Hacl1/Ephx2/Pcca/Cpt1b/Eci1/Acaa2/Cpt1a/Fads2/Fads1/Scd1/Phyh/Hacd1/Ptgds/Ptgis/Elovl6/Cyp2u1/Acadm/Cyp2j6/Prkaa2/Acot11/Cpt2/Faah/Mecr/Hadhb/Acacb/Pon1/Pon2/Mcee/Ndufab1/Tecr/Slc25a20/Acot5/Them5" 44
"12" "black" "R-MMU-5620924" "Intraflagellar transport" "20/979" "44/6837" 6.26144852834391e-07 4.49258931908675e-05 4.29513399049556e-05 "Tuba4a/Traf3ip1/Kif3a/Ift20/Wdr35/Ift43/Ift88/Ift27/Dync2li1/Tubb4b/Ttc30b/Ift80/Wdr19/Dynll1/Ift81/Ift22/Ttc26/Ift122/Dynlrb2/Dync2h1" 20
"13" "black" "R-MMU-556833" "Metabolism of lipids" "106/979" "477/6837" 9.2537389660013e-07 6.12882249979009e-05 5.85945252745993e-05 "Acadl/Mogat1/Glb1l/Dbi/Etnk2/Plekha6/Degs1/Ggt1/Gpx4/Chpt1/Acss3/Slc22a5/Acsl6/Pld6/Srebf1/Acadvl/Ormdl3/Arsg/Acox1/Pcyt2/Mboat2/Acot1/Idi1/Srd5a1/Elovl7/Hmgcs1/Acox2/Hacl1/Fdft1/Ephx2/Pcca/Sqle/Ppara/Cpt1b/Cers5/Bdh1/Agpat4/Eci1/Slc44a4/Cyp39a1/Abhd3/Osbpl1a/Hdac3/Cidea/Acaa2/Cpt1a/Pitpnm1/Fads2/Fads1/Pip5k1b/Scd1/Phyh/Hacd1/Ptgds/Sptlc3/Lpin3/Fitm2/Ptgis/Cyp7b1/Fdps/Pmvk/Slc44a3/Elovl6/Pla2g12a/Cyp2u1/Sgms2/Bdh2/Acadm/Cyp2j6/Prkaa2/Dhcr24/Acot11/Cpt2/Faah/Pik3r3/Mecr/Pla2g5/Cyp51/Hadhb/Ptpn13/Acacb/Pitpnm2/Pon1/Pon2/Mcee/Stard10/Smpd1/Gde1/Ndufab1/Osbpl5/Pnpla6/Cers4/Mtmr7/Msmo1/Tecr/Cpne7/Rab4a/Sc5d/Fdx1/Hmgcll1/Slc25a20/Mtm1/Pcyt1b/Acot5/Them5/Slco1b2" 106
"14" "black" "R-MMU-5617833" "Cilium Assembly" "46/979" "163/6837" 2.36748947436125e-06 0.000145600602673217 0.000139201260823346 "Tuba4a/Pde6d/Traf3ip1/Cep83/Cep290/Rab3ip/Kif3a/B9d1/Ift20/Wdr35/Ift43/Ttc8/Ift88/Ift27/Arl6/Dync2li1/Bbs1/Tmem216/Tctn3/Arl3/Tubb4b/Bbs5/Ttc30b/Nphp1/Ift80/Tmem67/Dctn3/Nphp4/Cc2d2a/Wdr19/Unc119b/Dynll1/Ift81/Tctn2/Ift22/Exoc4/Ttc26/Ift122/Cep89/Ccp110/Rpgrip1l/Dynlrb2/Dync2h1/Bbs4/Cep162/Cetn2" 46
"15" "black" "R-MMU-389661" "Glyoxylate metabolism and glycine degradation" "13/979" "23/6837" 2.78965271696223e-06 0.000160126065953632 0.000153088310502769 "Ddo/Ogdh/Dld/Dlst/Pdhb/Gnmt/Gldc/Grhpr/Ndufab1/Got2/Dlat/Bckdhb/Pdha1" 13
"16" "black" "R-MMU-70263" "Gluconeogenesis" "14/979" "27/6837" 4.50940091282999e-06 0.000242662136621664 0.000231996810120596 "Mdh1/Pgam1/Got1/Slc25a12/Eno1/Mdh2/Slc25a13/Eno2/Tpi1/Gapdh/Gpi1/Aldoa/Got2/Pgk1" 14
"17" "black" "R-MMU-77289" "Mitochondrial Fatty Acid Beta-Oxidation" "15/979" "34/6837" 2.51460308522252e-05 0.00127357250375094 0.00121759728337091 "Acadl/Dbi/Acadvl/Acot1/Pcca/Eci1/Acaa2/Acadm/Acot11/Mecr/Hadhb/Mcee/Ndufab1/Acot5/Them5" 15
"18" "black" "R-MMU-70268" "Pyruvate metabolism" "11/979" "21/6837" 4.36091895028316e-05 0.00208597289788544 0.00199429159012949 "Vdac1/Pdk2/Dld/Pdhb/Glo1/Pdk4/Ldhb/Dlat/Me1/Pdk3/Pdha1" 11
"19" "black" "R-MMU-6805567" "Keratinization" "11/979" "23/6837" 0.000126936074648374 0.00546459801361252 0.00522442159868573 "Perp/Krt10/Krt23/Dsp/Krt1/Krt8/Pkp2/Dsc2/Dsg2/Pkp3/Krt15" 11
"20" "black" "R-MMU-6809371" "Formation of the cornified envelope" "11/979" "23/6837" 0.000126936074648374 0.00546459801361252 0.00522442159868573 "Perp/Krt10/Krt23/Dsp/Krt1/Krt8/Pkp2/Dsc2/Dsg2/Pkp3/Krt15" 11
