"Cluster" "ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"20" "black" "BP" "GO:0072521" "purine-containing compound metabolic process" "130/2186" "407/14705" 9.8130649561245e-19 2.68191065250883e-16 2.56637472457803e-16 "Ndufs1/Nppc/Nme7/Atp1b1/Mpc2/Sdhc/Ndufs2/Atp1a2/Rd3/Ak9/Hkdc1/Hk1/Slc16a9/Atp5d/Ndufs7/Ndufa12/Atp5b/Ogdh/Acsl6/Hint1/Guk1/Adora2b/Pdk2/Atp5g1/Atp5h/Dld/Mthfd1/Acot1/Esrrb/Pfkp/Ndufs6/Sdha/Hmgcs1/Pdhb/Pnp2/Myh7/Sucla2/Ndufb9/Ndufa6/Ppara/Lrrk2/Pfkm/Adcy6/Adcy5/Zbtb20/Atp6v1a/Atp5j/App/Atp5o/Ndufb10/Jmjd8/Pde9a/Ndufv3/Gnmt/Ndufa11/Ndufv2/Ttr/Nme5/Acaa2/Atp5a1/Ndufv1/Arl2/Bad/Ak3/Pank1/Pgam1/Ndufb8/Eno4/Ndufa8/Atp5g3/Mtch2/Ndufs3/Acss2/Fitm2/Atp5e/Ndufb5/Ndufc1/Pmvk/Slc27a3/Npr1/Dpyd/Pde5a/Ndufb6/Npr2/Acnat1/Pgm2/Prkaa2/Acot11/Ndufs5/Gale/Eno1/Ppargc1a/Atp5k/Acacb/Atp5j2/Pdk4/Slc25a13/Ndufa5/Ndufb2/Suclg1/Eno2/Tpi1/Gapdh/Ndufa3/Gpi1/Mcee/Ndufc2/Ndufab1/Aldoa/Acadsb/Ndufa13/Ndufb7/Ldhd/Nudt7/Atp5l/Dlat/Pkm/Rora/Nt5e/Nme9/Nudt11/Ndufb11/Ndufa1/Hprt/Pdk3/Pgk1/Pdha1/Acot5/Them5/Uox" 130
"24" "black" "BP" "GO:0009206" "purine ribonucleoside triphosphate biosynthetic process" "54/2186" "107/14705" 3.97141464357245e-18 9.04489685073625e-16 8.6552453350489e-16 "Ndufs1/Nme7/Sdhc/Ndufs2/Ak9/Atp5d/Ndufs7/Ndufa12/Atp5b/Atp5g1/Atp5h/Ndufs6/Sdha/Ndufb9/Ndufa6/Ppara/Atp5j/Atp5o/Ndufb10/Ndufv3/Ndufa11/Ndufv2/Nme5/Atp5a1/Ndufv1/Ak3/Ndufb8/Ndufa8/Atp5g3/Ndufs3/Atp5e/Ndufb5/Ndufc1/Ndufb6/Ndufs5/Eno1/Ppargc1a/Atp5k/Atp5j2/Slc25a13/Ndufa5/Ndufb2/Ndufa3/Ndufc2/Ndufab1/Aldoa/Ndufa13/Ndufb7/Ldhd/Atp5l/Pkm/Nme9/Ndufb11/Ndufa1" 54
"27" "black" "BP" "GO:0046034" "ATP metabolic process" "78/2186" "196/14705" 1.03044942317044e-17 2.08608761001837e-15 1.99621956480854e-15 "Ndufs1/Atp1b1/Sdhc/Ndufs2/Atp1a2/Ak9/Hkdc1/Hk1/Atp5d/Ndufs7/Ndufa12/Atp5b/Ogdh/Guk1/Atp5g1/Atp5h/Esrrb/Pfkp/Ndufs6/Sdha/Myh7/Ndufb9/Ndufa6/Ppara/Pfkm/Zbtb20/Atp6v1a/Atp5j/App/Atp5o/Ndufb10/Jmjd8/Ndufv3/Ndufa11/Ndufv2/Atp5a1/Ndufv1/Arl2/Bad/Ak3/Pgam1/Ndufb8/Eno4/Ndufa8/Atp5g3/Mtch2/Ndufs3/Atp5e/Ndufb5/Ndufc1/Ndufb6/Prkaa2/Ndufs5/Gale/Eno1/Ppargc1a/Atp5k/Atp5j2/Slc25a13/Ndufa5/Ndufb2/Eno2/Tpi1/Gapdh/Ndufa3/Gpi1/Ndufc2/Ndufab1/Aldoa/Ndufa13/Ndufb7/Ldhd/Atp5l/Pkm/Nt5e/Ndufb11/Ndufa1/Pgk1" 78
"28" "black" "BP" "GO:0072522" "purine-containing compound biosynthetic process" "79/2186" "204/14705" 4.16702223375589e-17 8.13462268918203e-15 7.78418551862143e-15 "Ndufs1/Nppc/Nme7/Mpc2/Sdhc/Ndufs2/Rd3/Ak9/Atp5d/Ndufs7/Ndufa12/Atp5b/Acsl6/Guk1/Adora2b/Pdk2/Atp5g1/Atp5h/Dld/Mthfd1/Ndufs6/Sdha/Pdhb/Pnp2/Ndufb9/Ndufa6/Ppara/Adcy6/Adcy5/Atp5j/Atp5o/Ndufb10/Ndufv3/Ndufa11/Ndufv2/Nme5/Atp5a1/Ndufv1/Ak3/Pank1/Ndufb8/Ndufa8/Atp5g3/Ndufs3/Acss2/Atp5e/Ndufb5/Ndufc1/Npr1/Ndufb6/Npr2/Pgm2/Ndufs5/Eno1/Ppargc1a/Atp5k/Acacb/Atp5j2/Pdk4/Slc25a13/Ndufa5/Ndufb2/Ndufa3/Ndufc2/Ndufab1/Aldoa/Ndufa13/Ndufb7/Ldhd/Atp5l/Dlat/Pkm/Nt5e/Nme9/Ndufb11/Ndufa1/Hprt/Pdk3/Pdha1" 79
"35" "black" "BP" "GO:0001578" "microtubule bundle formation" "48/2186" "94/14705" 1.56606234407675e-16 2.44574193506386e-14 2.34038008653154e-14 "Dnah7b/Dnah7c/Dnah7a/Spag16/Daw1/Nckap5/Map7/Rsph4a/Armc2/Dnah2/Gas2l2/Ccdc103/Foxj1/Ccdc40/Dnal1/Ttll5/Ak7/Map1b/Ift88/Lrrc6/Ccdc65/Spag6l/Rsph1/Mtcl1/Cfap43/Cfap58/Meig1/Cfap157/Chp1/Spef1/Spag17/Tekt2/Cfap69/Drc1/Cc2d2a/Ttc26/Dnaaf3/Drc7/Hydin/Dnaaf1/Gas8/Jhy/Ttc12/Lrrc49/Mns1/Zmynd10/Ulk4/Capn6" 48
"36" "black" "BP" "GO:0046390" "ribose phosphate biosynthetic process" "76/2186" "198/14705" 2.95103257543642e-16 4.48065112703763e-14 4.28762598460338e-14 "Ndufs1/Nppc/Nme7/Mpc2/Sdhc/Ndufs2/Ak9/Atp5d/Ndufs7/Ndufa12/Atp5b/Upp1/Acsl6/Guk1/Pdk2/Atp5g1/Atp5h/Dld/Mthfd1/Ndufs6/Sdha/Pdhb/Tkt/Ndufb9/Ndufa6/Ppara/Adcy6/Adcy5/Atp5j/Atp5o/Ndufb10/Ndufv3/Ndufa11/Ndufv2/Nme5/Atp5a1/Ndufv1/Ak3/Pank1/Ndufb8/Ndufa8/Atp5g3/Ndufs3/Acss2/Atp5e/Ndufb5/Ndufc1/Npr1/Ndufb6/Npr2/Ndufs5/Eno1/Ppargc1a/Atp5k/Acacb/Atp5j2/Pdk4/Slc25a13/Ndufa5/Ndufb2/Ndufa3/Ndufc2/Ndufab1/Aldoa/Ndufa13/Ndufb7/Ldhd/Atp5l/Dlat/Pkm/Nme9/Ndufb11/Ndufa1/Hprt/Pdk3/Pdha1" 76
"39" "black" "BP" "GO:0001539" "cilium or flagellum-dependent cell motility" "50/2186" "104/14705" 8.93461540904165e-16 1.22091519564554e-13 1.16831852546126e-13 "Efhc1/Spag16/Cfap221/Cfap45/Rsph4a/Armc2/Cfap54/Cfap52/Dnah2/Tekt1/Gas2l2/Ccdc40/Ttll5/Dnah11/Ift88/Dzip1/Lrrc6/Rabl2/Ccdc65/Tekt5/Efcab1/Spag6l/Tekt4/Tcte1/Cfap53/Bbs1/Dpcd/Cfap43/Cfap58/Eno4/Meig1/Enkur/Cfap157/Mkks/Ttll9/Pltp/Tekt2/Nphp4/Cfap69/Drc1/Ift81/Drc7/Spata33/Gas8/Ttc12/Bbs4/Mns1/Kif9/Ttc21a/Efhc2" 50
"40" "black" "BP" "GO:0060285" "cilium-dependent cell motility" "50/2186" "104/14705" 8.93461540904165e-16 1.22091519564554e-13 1.16831852546126e-13 "Efhc1/Spag16/Cfap221/Cfap45/Rsph4a/Armc2/Cfap54/Cfap52/Dnah2/Tekt1/Gas2l2/Ccdc40/Ttll5/Dnah11/Ift88/Dzip1/Lrrc6/Rabl2/Ccdc65/Tekt5/Efcab1/Spag6l/Tekt4/Tcte1/Cfap53/Bbs1/Dpcd/Cfap43/Cfap58/Eno4/Meig1/Enkur/Cfap157/Mkks/Ttll9/Pltp/Tekt2/Nphp4/Cfap69/Drc1/Ift81/Drc7/Spata33/Gas8/Ttc12/Bbs4/Mns1/Kif9/Ttc21a/Efhc2" 50
"42" "black" "BP" "GO:0032787" "monocarboxylic acid metabolic process" "132/2186" "467/14705" 2.91933655357057e-14 3.79930800043255e-12 3.63563492097548e-12 "Rdh10/Idh1/Acadl/Pnkd/Irs1/Ugt1a6a/Dbi/Mpc2/Ephx1/Degs1/Aig1/Hkdc1/Hk1/Mif/Gpx4/Ogdh/Acsl6/Srebf1/Acadvl/Srr/Pdk2/Acbd4/Sox9/Acox1/Dld/Acot1/Esrrb/Pfkp/Aldh5a1/Eci3/Auh/Ndufs6/Elovl7/Acox2/Pdhb/Hacl1/Btd/Ephx2/Ppara/Cpt1b/Pfkm/Abat/Zbtb20/App/Eci1/Jmjd8/Glo1/Cyp39a1/Plin5/Alkbh7/Abhd3/Me2/Acaa2/Cpt1a/Pcx/Arl2/Fads2/Fads1/Fads3/Pgam1/Scd4/Scd1/Eno4/Phyh/Echdc3/Hacd1/Ptgds/Kyat1/Mtch2/Ivd/Acss2/Lpin3/Ptgis/Cyp7b1/Etfdh/Slc27a3/Elovl6/Cyp2u1/Bdh2/Acadm/Grhpr/Acnat1/Cyp2j6/Prkaa2/Acot11/Cpt2/Echdc2/Faah/Mecr/Wdtc1/Gale/Pla2g5/Pdpn/Eno1/Hadhb/Ppargc1a/Kit/Acacb/Pdk4/Eno2/Tpi1/Gapdh/Slco1a6/Ldhb/Apoc1/Ceacam2/Cyp2s1/Akt2/Gpi1/Etfb/Cpt1c/Abhd2/Fah/Me3/Ndufab1/Aldoa/Acadsb/Slc27a1/Tecr/Ldhd/Nudt7/Dlat/Etfa/Pkm/Elovl4/Me1/Rbp1/Pdk3/Pgk1/Pdha1/Acot5/Them5" 132
"43" "black" "BP" "GO:0022904" "respiratory electron transport chain" "43/2186" "88/14705" 4.46059429373234e-14 5.67014149059092e-12 5.4258734505645e-12 "Cox5b/Ndufs1/Sdhc/Ndufs2/Ndufs7/Uqcr11/Ndufa12/Uqcr10/Uqcrq/Dld/Uqcrfs1/Uqcrb/Ndufs6/Sdha/Cox7c/Dnajc15/Ndufb9/Cyc1/Sod2/Ndufv3/Ndufv2/Ndufv1/Ndufb8/Ndufa8/Slc25a12/Mtch2/Ndufs3/Ndufb6/Ppargc1a/Cox6a1/Chchd2/Slc25a13/Ndufa5/Cycs/Etfb/Ndufc2/Coq7/Uqcrc2/Slc25a22/Coq9/Cox4i1/Etfa/Cox5a" 43
