"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"12" "black" "mmu05014" "Amyotrophic lateral sclerosis - Mus musculus (house mouse)" "88/920" "332/6190" 1.00943293666674e-08 2.79276445811132e-07 2.46159961748556e-07 "12859/227058/100101919/627872/227197/13869/22145/12043/66052/226646/103172/66043/75406/66594/66414/11947/66152/380684/22333/22272/237806/327954/11951/15114/19184/71679/105000/13411/66694/67530/407785/66945/12867/69590/11744/12864/66218/66445/67130/11957/20655/28080/68342/78330/69875/72900/11946/17995/12015/12868/67264/227613/68375/21353/228033/68349/66734/67126/66046/66377/18645/230075/53598/67305/595136/75563/12861/17992/68202/68198/13063/330355/66091/333182/12865/68197/67003/70316/12869/67184/66916/12857/12858/12866/104130/54405/67790/66142" 88
"13" "black" "mmu00010" "Glycolysis / Gluconeogenesis - Mus musculus (house mouse)" "24/920" "50/6190" 2.56813024831016e-08 6.55860955722286e-07 5.78089238081153e-07 "216019/15275/13382/56421/68263/18642/319625/110695/18648/226265/60525/66681/13806/11669/13807/21991/14433/16832/14751/11674/235339/18746/18655/18597" 24
"14" "black" "mmu05010" "Alzheimer disease - Mus musculus (house mouse)" "88/920" "346/6190" 8.26950335410124e-08 1.96105365254401e-06 1.728512731158e-06 "12859/227197/22145/16367/66052/226646/66043/75406/66594/66414/11947/66152/22333/22272/216795/11951/19184/12006/71679/66694/67530/407785/66945/12867/105675/14365/12864/66218/66445/72027/67130/11957/11820/28080/68342/78330/69875/72900/11946/17995/12015/12868/67264/277468/227613/68375/228033/68349/68427/67126/66046/66377/17380/230075/18710/595136/12568/12861/17992/68202/68198/13063/16438/14433/66091/333182/12315/11652/12865/14366/68197/11785/67003/70316/12869/16334/11739/67184/66916/12857/12858/75600/208117/68318/12866/104130/54405/66142" 88
"15" "black" "mmu00480" "Glutathione metabolism - Mus musculus (house mouse)" "23/920" "55/6190" 1.11234107908341e-06 2.46198158837128e-05 2.17004084200132e-05 "14859/15926/11758/14598/103140/14871/625249/68044/69590/75475/207182/14854/14866/14862/14863/67305/76263/93674/69049/68396/66116/56615/14860" 23
"16" "black" "mmu05022" "Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)" "98/920" "426/6190" 2.44408618016708e-06 5.07147882384669e-05 4.47010498741084e-05 "12859/227058/100101919/627872/227197/22145/12043/66052/226646/66043/75406/66594/66414/11947/66152/380684/22333/22272/216795/237806/327954/11951/15114/19184/12006/71679/105000/13411/66694/67530/407785/66945/12867/69590/105675/14365/12864/66218/66445/67130/66725/11957/11820/20655/28080/68342/78330/69875/72900/11946/17995/12015/12868/67264/227613/68375/21353/228033/68349/19122/66734/67126/66046/66377/230075/53598/67305/595136/75563/170731/12568/12861/17992/68202/68198/13063/330355/16438/66091/333182/12315/12865/14366/68197/67003/70316/12869/11739/67184/66916/12857/12858/75600/12866/104130/54405/67790/66142" 98
"17" "black" "mmu01210" "2-Oxocarboxylic acid metabolism - Mus musculus (house mouse)" "14/920" "27/6190" 7.0278238820986e-06 0.000137249266403337 0.000120974305834267 "15926/18293/13382/78920/68263/239017/11429/14718/76615/14719/235339/67834/12040/18597" 14
"18" "black" "mmu01212" "Fatty acid metabolism - Mus musculus (house mouse)" "22/920" "58/6190" 1.27877068123179e-05 0.000235862147871641 0.000207893713089145 "11363/216739/11370/11430/74559/12895/52538/12894/56473/76267/329065/20249/30963/170439/11364/12896/26922/231086/78070/66885/106529/83603" 22
"19" "black" "mmu04723" "Retrograde endocannabinoid signaling - Mus musculus (house mouse)" "38/920" "130/6190" 1.71303659285862e-05 0.000286106104882974 0.000252179762705982 "227197/226646/75406/216227/66414/407785/66218/67130/11512/224129/68342/78330/69875/72900/17995/67264/68375/68349/66046/66377/230075/14073/595136/242864/14397/14400/17992/68202/68198/16438/66091/68197/70316/67184/66916/14697/104130/54405" 38
"20" "black" "mmu00280" "Valine, leucine and isoleucine degradation - Mus musculus (house mouse)" "19/920" "47/6190" 1.72353075230707e-05 0.000286106104882974 0.000252179762705982 "11761/13382/104776/11992/208715/110821/268860/110695/52538/56357/11364/231086/11669/58875/73724/66885/66948/208982/12040" 19
"21" "black" "mmu03320" "PPAR signaling pathway - Mus musculus (house mouse)" "23/920" "64/6190" 2.28887262035998e-05 0.000361859861885482 0.000318950670907305 "11363/13167/11807/216739/11430/208715/93732/19013/12895/66968/57435/12894/56473/329065/20249/18830/11364/11832/12896/78070/109264/26457/17436" 23
