baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
2401.4198318285544,-0.5802462473148867,0.09877128948835202,-5.8746448519669725,4.237508134864589e-9,8.751301800122349e-5,Mir152,microRNA 152,387170,ENSMUSG00000065515
272.4428106020751,0.9933124795879362,0.21480201200244947,4.624316459273245,3.758357036026701e-6,0.02587252983600781,Shtn1,shootin 1,71653,ENSMUSG00000041362
257.7838710606354,0.9803768603623284,0.19965563892137025,4.910338949897764,9.091910089920453e-7,0.00938830635885186,Sox2ot,SOX2 overlapping transcript (non-protein coding),320478,ENSMUSG00000105265
