"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","description","entrez","ensembl","result"
168.878011132454,-0.831340785136589,0.258329129431532,-3.21814573124604,0.00129022246010894,0.0433104221268386,"Calhm5","calcium homeostasis modulator family member 5","103511","ENSMUSG00000049872","HPP_vs_CTX_H3K27ac"
260.774726680811,-0.798417760395942,0.226515619290531,-3.52478015819246,0.0004238343749149,0.0203728907965751,"Syt5","synaptotagmin V","53420","ENSMUSG00000004961","HPP_vs_CTX_H3K27ac"
820.894172928554,-0.723272492323898,0.132189836394608,-5.47146824635453,4.46322320788185e-08,1.36818844261239e-05,"Srsf2","serine and arginine-rich splicing factor 2","20382","ENSMUSG00000034120","HPP_vs_CTX_H3K27ac"
350.414731357303,-0.661465966085049,0.187773680945531,-3.52267667520948,0.000427212191729405,0.0204746798791376,"Mrm2","mitochondrial rRNA methyltransferase 2","68017","ENSMUSG00000029557","HPP_vs_CTX_H3K27ac"
676.734264950006,-0.649960458367432,0.148667952781694,-4.3718935130683,1.23173601606847e-05,0.00150757907801277,"Asgr2","asialoglycoprotein receptor 2","11890","ENSMUSG00000040963","HPP_vs_CTX_H3K27ac"
465.577606667307,-0.635084608819637,0.164060836606576,-3.87103114890603,0.000108375940977477,0.00815177737528269,"Gm839","predicted gene 839","330379",NA,"HPP_vs_CTX_H3K27ac"
408.316431838549,-0.634948046426844,0.178466561688923,-3.55779839325639,0.000373976163742576,0.0187419136370676,"4930512J16Rik","RIKEN cDNA 4930512J16 gene","75131","ENSMUSG00000107622","HPP_vs_CTX_H3K27ac"
412.774975944108,-0.614926518671303,0.164831582031322,-3.73063530115517,0.000190997537054024,0.0119351422481413,"Sord","sorbitol dehydrogenase","20322","ENSMUSG00000027227","HPP_vs_CTX_H3K27ac"
1054.02056359382,-0.59466272387364,0.156858725946584,-3.79107199988443,0.000149998458990388,0.0101967571682713,"1700020L13Rik","RIKEN cDNA 1700020L13 gene","108167416","ENSMUSG00000013928","HPP_vs_CTX_H3K27ac"
1190.60084087102,-0.585723648559623,0.147026855072392,-3.98378682772769,6.7825719196215e-05,0.00601440726877982,"4930481A15Rik","RIKEN cDNA 4930481A15 gene","74931","ENSMUSG00000086938","HPP_vs_CTX_H3K27ac"
1325.31324842973,-0.585526509343884,0.150210784177126,-3.8980324385594,9.69774282180119e-05,0.00746726197278691,"Cryz","crystallin, zeta","12972","ENSMUSG00000028199","HPP_vs_CTX_H3K27ac"
778.352800830177,-0.575265749546887,0.165997164252047,-3.46551552334601,0.000529215974697362,0.0239503396682675,"Tnfsf18","tumor necrosis factor (ligand) superfamily, member 18","240873","ENSMUSG00000066755","HPP_vs_CTX_H3K27ac"
1180.65750503665,-0.566542035819587,0.123888864771096,-4.57298593272575,4.80822432317314e-06,0.000709046942344804,"Rab42","RAB42, member RAS oncogene family","242681","ENSMUSG00000089687","HPP_vs_CTX_H3K27ac"
577.276127980866,-0.558876443696435,0.156690843823589,-3.56674602075439,0.00036144147756279,0.0182370797700703,"Abcg3","ATP binding cassette subfamily G member 3","27405","ENSMUSG00000029299","HPP_vs_CTX_H3K27ac"
