"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Region","Comparison"
"490","MF","GO:0098879","structural constituent of postsynaptic specialization","1/4","10/18604",0.00214851541310712,0.0151649170700169,0.0042568188266714,"Magi2",1,"STR vs CTX","STR","CTX"
"491","MF","GO:0098879","structural constituent of postsynaptic specialization","3/337","10/18604",0.000643185307996987,0.0366615625558283,0.0320464258721306,"Magi2/Mpp2/Shank2",3,"HPP vs CTX","HPP","CTX"
"492","MF","GO:0098918","structural constituent of synapse","1/4","28/18604",0.00600711650643893,0.0151649170700169,0.0042568188266714,"Magi2",1,"STR vs CTX","STR","CTX"
"493","MF","GO:0098918","structural constituent of synapse","4/337","28/18604",0.00153580883028117,0.0463452899961317,0.0405111183715032,"Dnm3/Magi2/Mpp2/Shank2",4,"HPP vs CTX","HPP","CTX"
"494","MF","GO:0099186","structural constituent of postsynapse","1/4","19/18604",0.0040792175015899,0.0151649170700169,0.0042568188266714,"Magi2",1,"STR vs CTX","STR","CTX"
"495","MF","GO:0099186","structural constituent of postsynapse","4/337","19/18604",0.00033056622247172,0.028263412021332,0.0247054755742022,"Dnm3/Magi2/Mpp2/Shank2",4,"HPP vs CTX","HPP","CTX"
"496","MF","GO:0140297","DNA-binding transcription factor binding","19/279","439/18604",3.80453686799041e-05,0.00996788659413487,0.00933112726570279,"Arid1a/Bcl6/Cd34/Cebpa/Ets2/Gata2/Gtf2i/Hes1/Hhex/Hmga1/Id2/Ifrd1/Jup/Kat2a/Nfatc1/Nr4a1/Setd3/Tal1/Ywhah",19,"CTX vs STR","CTX","STR"
"497","MF","GO:0140358","P-type transmembrane transporter activity","4/230","25/18604",0.000234733478453636,0.0469739328275498,0.0436432627737627,"Atp1b1/Atp1b3/Atp2b3/Atp6v0a4",4,"HPP vs VTA","HPP","VTA"
"498","MF","GO:0140375","immune receptor activity","6/126","115/18604",0.00013190735107123,0.0390445759170841,0.0366563586134787,"Cr2/Csf2ra/Csf3r/Cxcr5/Fcgr4/Ifngr1",6,"CTX vs HPP","CTX","HPP"
"499","MF","GO:0140375","immune receptor activity","9/279","115/18604",5.9265455551661e-05,0.0103516995696901,0.0096904218551137,"Ackr3/Cd4/Cr2/Csf2ra/Csf3r/Fcgr1/Fcgr4/Il20rb/Lifr",9,"CTX vs STR","CTX","STR"
"500","MF","GO:0140416","transcription regulator inhibitor activity","3/127","16/18604",0.000163032771537885,0.0140208183522581,0.0124419746699965,"Id3/Lef1/Smad6",3,"HPP vs STR","HPP","STR"
"501","MF","GO:0140678","molecular function inhibitor activity","4/127","51/18604",0.000403801567670125,0.0249467466440136,0.0221375658713707,"Id3/Itpr1/Lef1/Smad6",4,"HPP vs STR","HPP","STR"
"502","MF","GO:1901981","phosphatidylinositol phosphate binding","10/337","169/18604",0.00104824009538386,0.041365166840917,0.0361579174602045,"Dab2ip/Golph3/Kcnh1/Mtss2/Pard3/Plekha5/Plekhf1/Sh3pxd2b/Snap91/Syt9",10,"HPP vs CTX","HPP","CTX"
