"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","description","entrez","result"
14.0608599371353,-22.3995675534877,4.73239828184709,-4.73323803691877,2.209660939773e-06,2.98373135214671e-05,"Trap1a","tumor rejection antigen P1A","22037","HPP_vs_CTX"
40.8709609179775,-8.00205925018339,2.05037507492509,-3.90272948010536,9.51139886130677e-05,0.000861197057679193,"Prss56","protease, serine 56","69453","HPP_vs_CTX"
19.1805495196457,-6.37621752338714,1.77875791852724,-3.58464603697531,0.000337535660158273,0.00258626910663938,"Gm44505","predicted readthrough transcript (NMD candidate), 44505","664779","HPP_vs_CTX"
9.23343831196134,-6.17035187524637,1.29454489401832,-4.76642556295854,1.87522964889145e-06,2.57315843018661e-05,"Tnfrsf8","tumor necrosis factor receptor superfamily, member 8","21941","HPP_vs_CTX"
8.24438962636779,-5.96385554121706,2.17736577591309,-2.73902327628719,0.00616220105432142,0.0300251281679052,"Scrt1","scratch family zinc finger 1","170729","HPP_vs_CTX"
8.1685860708521,-5.79844216317524,2.19736151565574,-2.63882029509599,0.00831950688511546,0.0383500335122959,"Fcer1a","Fc receptor, IgE, high affinity I, alpha polypeptide","14125","HPP_vs_CTX"
8.74533031012735,-5.38430669651294,2.08716130194833,-2.57972715931767,0.00988784029493255,0.0440880018642473,"Gm17021","predicted gene 17021","102639738","HPP_vs_CTX"
4.73405893990169,-5.30979381230362,1.82122669964726,-2.91550404643861,0.00355114501994726,0.0189678196885728,"LOC108168026",NA,NA,"HPP_vs_CTX"
6.75167888006548,-4.74530025301736,1.75867450936033,-2.69822541224147,0.00697102206145699,0.0332421950038975,"Npas4","neuronal PAS domain protein 4","225872","HPP_vs_CTX"
18.2246913830894,-4.21013954988506,1.1655993414256,-3.61199547756764,0.000303849866491642,0.0023739032271811,"Gm38781","predicted gene, 38781","105242616","HPP_vs_CTX"
123.495406932633,-3.03704574012026,0.96726719874862,-3.13982087271166,0.00169051167686473,0.0102075054303406,"Chga","chromogranin A","12652","HPP_vs_CTX"
574.302039066623,-2.73472900346416,0.841177673068363,-3.25107179020657,0.0011497082243714,0.00740564124028982,"Arpp21","cyclic AMP-regulated phosphoprotein, 21","74100","HPP_vs_CTX"
92.1894019926449,-2.62263734984376,0.478936809794978,-5.47595694506433,4.35153493032846e-08,8.51301788327812e-07,"Gm12865","predicted gene 12865","105244672","HPP_vs_CTX"
132.18245765823,-2.61510038968166,0.745701211956582,-3.5069010855167,0.000453357637244949,0.00334482149250959,"Retnla","resistin like alpha","57262","HPP_vs_CTX"
30.852797041169,-1.7242300379608,0.564221115067326,-3.05594737934444,0.00224350625761104,0.0129375425702162,"Gm39012","predicted gene, 39012","105242940","HPP_vs_CTX"
318.97579109076,-1.65825120499695,0.500680632191511,-3.31199391064656,0.000926335622128696,0.00618138684834851,"Zfp316","zinc finger protein 316","54201","HPP_vs_CTX"
404.103393061254,-1.64441492860551,0.583401388483274,-2.81866817780578,0.00482233412993313,0.0244377582631332,"Dmrtb1","DMRT-like family B with proline-rich C-terminal, 1","56296","HPP_vs_CTX"
55.1798827052788,-1.63974911848577,0.595179539555854,-2.7550495430495,0.00586832487764363,0.02892595756157,"Nxpe5","neurexophilin and PC-esterase domain family, member 5","381680","HPP_vs_CTX"
120.570597002716,-1.57201221850449,0.338394553896418,-4.64550094085049,3.39252227599574e-06,4.35176409136122e-05,"Gm13710","predicted gene 13710","672763","HPP_vs_CTX"
4901.01796271966,-1.51523803123184,0.53569110103913,-2.828566739848,0.00467569508149279,0.0238185408268985,"P3h2","prolyl 3-hydroxylase 2","210530","HPP_vs_CTX"
830.626541973178,-1.50935637012678,0.235862511410393,-6.39930593930016,1.56084818222067e-10,4.55286329798949e-09,"Ptger3","prostaglandin E receptor 3 (subtype EP3)","19218","HPP_vs_CTX"
108.463896907136,-1.49804080942284,0.477676843548626,-3.13609677683766,0.00171212695421927,0.0103029010818291,"Ttc9b","tetratricopeptide repeat domain 9B","73032","HPP_vs_CTX"
48.0615712917639,-1.47618981141651,0.538684347204838,-2.74036143629616,0.00613716535320302,0.029933083080641,"Gm36027","predicted gene, 36027","102639801","HPP_vs_CTX"
864.389501406816,-1.42534353388217,0.334630779449782,-4.25945137570967,2.04929271027647e-05,0.000217367819595737,"Acsbg1","acyl-CoA synthetase bubblegum family member 1","94180","HPP_vs_CTX"
3260.16657196868,-1.39366768030661,0.410642248409059,-3.39387309928791,0.000689116173140017,0.00479893803918272,"Cd209a","CD209a antigen","170786","HPP_vs_CTX"
526.029737762442,-1.37495640140857,0.47603099987131,-2.88837576078087,0.00387236969723347,0.0203982491350619,"Cd209b","CD209b antigen","69165","HPP_vs_CTX"
173.981987175263,-1.3314083896968,0.451050536257469,-2.95179427286347,0.00315933345749617,0.0172242899886158,"Padi4","peptidyl arginine deiminase, type IV","18602","HPP_vs_CTX"
1719.26965542708,-1.2744865282103,0.383898097832561,-3.31985632490986,0.000900637865546035,0.00603886056784738,"Rnpepl1","arginyl aminopeptidase (aminopeptidase B)-like 1","108657","HPP_vs_CTX"
217.40182110654,-1.2291936374973,0.467078100739576,-2.63166617221184,0.00849673044232723,0.0390008934437564,"Vsnl1","visinin-like 1","26950","HPP_vs_CTX"
2241.24400636638,-1.20940205181554,0.335992517665021,-3.59949102503911,0.00031884063681838,0.00247317269442919,"Slc1a2","solute carrier family 1 (glial high affinity glutamate transporter), member 2","20511","HPP_vs_CTX"
2383.38030595752,-1.1456610970508,0.313242156272159,-3.65742948102871,0.000254757317421133,0.00203357080292945,"Mgl2","macrophage galactose N-acetyl-galactosamine specific lectin 2","216864","HPP_vs_CTX"
1189.97714657996,-1.13959585889568,0.191585515340793,-5.94823599721807,2.71047615229378e-09,6.5606991089993e-08,"Adgre4","adhesion G protein-coupled receptor E4","52614","HPP_vs_CTX"
