baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
3609.269805145434,0.31349397258829065,0.08988054151850448,3.48789590373962,4.8683757901964956e-4,0.026661720653143726,0610038B21Rik,RIKEN cDNA 0610038B21 gene,70345,ENSMUSG00000097882
855.5083256982878,-0.5602598874212258,0.16881729484031724,-3.318735132861657,9.042615627482367e-4,0.0347948319753044,1110015O18Rik,RIKEN cDNA 1110015O18 gene,100503859,ENSMUSG00000098659
1935.7894749425718,0.33246538494466016,0.10334032089174165,3.217189399798243,0.0012945310956679495,0.04195513407717153,1500012K07Rik,RIKEN cDNA 1500012K07 gene,68954,ENSMUSG00000097247
719.2847460704011,-0.5314314171229371,0.12308885630137209,-4.31746165405725,1.578338178781422e-5,0.00411678749716395,1700001G01Rik,RIKEN cDNA 1700001G01 gene,75433,ENSMUSG00000087170
1068.2808961265835,-0.5990436454395957,0.14944828225388876,-4.008367553010186,6.113991244517385e-5,0.008181583587989394,1700003I22Rik,RIKEN cDNA 1700003I22 gene,69356,ENSMUSG00000100372
141.75588631670936,-0.809274959557848,0.22878562396301888,-3.537263161642796,4.042966072133342e-4,0.023979584144296493,1700009J07Rik,RIKEN cDNA 1700009J07 gene,75188,ENSMUSG00000096573
1234.0463673242102,-0.5310944758726364,0.15930003100226753,-3.33392575337965,8.562951155930672e-4,0.03417440277859748,1700010K23Rik,RIKEN cDNA 1700010K23 gene,75501,ENSMUSG00000092599
193.83460762286558,-0.7908212991614818,0.21107105592703065,-3.746706509275609,1.7917150898820325e-4,0.01598171145023487,1700011L22Rik,RIKEN cDNA 1700011L22 gene,67687,ENSMUSG00000031682
922.2474105725221,0.413715685558261,0.11451354097793497,3.6128101709646527,3.0289645268927033e-4,0.020809256743014204,1700016K05Rik,RIKEN cDNA 1700016K05 gene,102639882,ENSMUSG00000114563
1772.7232512773217,0.3499265940786771,0.10478415290981766,3.3394991929728244,8.392959482587921e-4,0.03417440277859748,1700019C18Rik,RIKEN cDNA 1700019C18 gene,75543,ENSMUSG00000113770
352.84608752056874,-0.6755607387910585,0.17352920898950974,-3.893066433743139,9.898503116014926e-5,0.01116636858293116,1700021F07Rik,RIKEN cDNA 1700021F07 gene,72221,ENSMUSG00000027518
94.84329398930001,-1.5522404880245622,0.3304976461287504,-4.696676379413193,2.6442890326214535e-6,0.0018418399789286906,1700025N23Rik,RIKEN cDNA 1700025N23 gene,69986,ENSMUSG00000100121
1514.7014703955547,-0.36957489020659673,0.11435679224239566,-3.2317703475210253,0.001230258864908574,0.041062846584353246,1700030C10Rik,RIKEN cDNA 1700030C10 gene,69513,ENSMUSG00000099759
1502.4977080429037,-0.47520451586899054,0.15101413228468108,-3.146755265084521,0.0016509308350389814,0.04713575996366398,1700031L13Rik,RIKEN cDNA 1700031L13 gene,67327,ENSMUSG00000099863
1329.6699034561102,0.3949489484355299,0.12132787001479828,3.2552203247890055,0.001133044297396374,0.03900764808195257,1700034G24Rik,RIKEN cDNA 1700034G24 gene,67325,ENSMUSG00000097962
3426.617012256109,-0.38978968260471847,0.10163985697105962,-3.835008177114073,1.2556011710965095e-4,0.01314452137551305,1700060C16Rik,RIKEN cDNA 1700060C16 gene,73425,ENSMUSG00000086887
1054.7203670378485,0.43954576910450716,0.11563948366814808,3.801000792825023,1.4411284092115834e-4,0.014308080702811005,1700067G17Rik,RIKEN cDNA 1700067G17 gene,73475,ENSMUSG00000099378
924.3914946270519,-0.3661583913105296,0.11142554959813743,-3.2861259615151157,0.0010157557642865515,0.03635224524792033,1700095A21Rik,RIKEN cDNA 1700095A21 gene,67524,ENSMUSG00000086046
498.6429095404139,-0.5345102543057407,0.15506559499164677,-3.4469945079341056,5.66860105461438e-4,0.02843469123057312,1700100I10Rik,RIKEN cDNA 1700100I10 gene,74982,ENSMUSG00000115372
2482.6903213635196,-0.4560173806968245,0.13009941691487342,-3.505145461145345,4.563578714104156e-4,0.025819453246819436,1700128A07Rik,RIKEN cDNA 1700128A07 gene,73631,ENSMUSG00000099794
980.2374763078351,-0.5414987986318034,0.15328278525334033,-3.5326784918269425,4.113724227756368e-4,0.023979584144296493,1810007C17Rik,RIKEN cDNA 1810007C17 gene,69054,ENSMUSG00000100844
263.7249119574244,-1.0773958120381166,0.2136498298112563,-5.042811468606905,4.587411847270276e-7,6.417789174331117e-4,2210409D07Rik,RIKEN cDNA 2210409D07 gene,70157,ENSMUSG00000118322
1412.968260338661,-0.5095512851462197,0.11647813913063125,-4.374651663817822,1.2162653808026571e-5,0.003670021165720018,2310008N11Rik,RIKEN cDNA 2310008N11 gene,72316,ENSMUSG00000100335
752.03850515811,-0.6312002225166577,0.14466797615473154,-4.363095684988012,1.2823482209474942e-5,0.003795010917723267,2410018L13Rik,RIKEN cDNA 2410018L13 gene,69732,ENSMUSG00000073164
948.8722203182008,-0.4521352021337737,0.10751978077219734,-4.205135081996815,2.609262694878465e-5,0.0051552697718305765,2610042L04Rik,RIKEN cDNA 2610042L04 gene,554327,ENSMUSG00000079388
483.12512959846737,0.6360048251398626,0.14120954543319073,4.503978985193817,6.669280444707336e-6,0.0026316296606051586,2700046A07Rik,RIKEN cDNA 2700046A07 gene,78449,ENSMUSG00000041789
