baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
193.79958684288874,0.8986107404498226,0.18964389377263052,4.738411148250271,2.1540043700557593e-6,0.008948272654304139,Gm20852,"predicted gene, 20852",100040786,ENSMUSG00000096666
1396.701622825626,0.6430477375228044,0.1353970098664511,4.749349621214493,2.04071877013332e-6,0.008948272654304139,Gm20857,Sycp3 like Y-linked pseudogene,100041014,NA
522.1602044237512,0.6583788951914986,0.1481888726347841,4.44283625002056,8.878073346398852e-6,0.02458782413285162,Gm26504,"predicted gene, 26504",64243,ENSMUSG00000118899
350.55796157378666,0.8199077290757354,0.16139141397144469,5.080243793023607,3.769508031073752e-7,0.0031318957476176267,Gm8016,predicted gene 8016,666272,ENSMUSG00000113050
515.5110949997475,0.6384248281229157,0.14261427786621253,4.476584235989517,7.5846750259498584e-6,0.02458782413285162,S100a7l2,S100 calcium binding protein A7 like 2,229550,ENSMUSG00000091175
328.7008048438333,0.9711390464855321,0.16674985118371838,5.823927515326952,5.7480514120766254e-9,9.551537031447728e-5,Wipf1,"WAS/WASL interacting protein family, member 1",215280,ENSMUSG00000075284
